,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[1.2972373 3.2972372 1.2989552],[0.12610489 2.47370005],2.8153693675994873,0.7071067690849304,2.570533275604248,False,False
1,1,[1.2972373 3.2972372 1.2989552],[0.11518121 2.46874976],2.8231959342956543,0.7071067690849304,2.584552049636841,False,False
2,2,[1.2972373 3.2972372 1.2989552],[0.10425466 2.46371293],2.8309402465820312,0.7071068286895752,2.598519802093506,False,False
3,3,[1.2972373 3.2972372 1.2989552],[0.09332782 2.45858979],2.838599681854248,0.7071068286895752,2.6124284267425537,False,False
4,4,[1.2972373 3.2972372 1.2989552],[0.08240026 2.45338011],2.846175193786621,0.70710688829422,2.6262753009796143,False,False
5,5,[1.2972373 3.2972372 1.2989552],[0.07147425 2.44808364],2.853663921356201,0.70710688829422,2.6400530338287354,False,False
6,6,[1.2972373 3.2972372 1.2989552],[0.06055051 2.44270015],2.8610641956329346,0.70710688829422,2.653756856918335,False,False
7,7,[1.2972373 3.2972372 1.2989552],[0.04962891 2.43722868],2.868377447128296,0.70710688829422,2.6673827171325684,False,False
8,8,[1.2972373 3.2972372 1.2989552],[0.03871155 2.43166971],2.8756000995635986,0.70710688829422,2.680922746658325,False,False
9,9,[1.2972373 3.2972372 1.2989552],[0.02779996 2.42602324],2.8827314376831055,0.70710688829422,2.6943719387054443,False,False
10,10,[1.2972373 3.2972372 1.2989552],[0.0168944  2.42028856],2.889770269393921,0.70710688829422,2.7077243328094482,False,False
11,11,[1.2972373 3.2972372 1.2989552],[0.00599521 2.4144659 ],2.896717071533203,0.7071069478988647,2.7209744453430176,False,False
12,12,[1.2972373 3.2972372 1.2989552],[-0.00489497  2.40855455],2.903568744659424,0.7071069478988647,2.7341151237487793,False,False
13,13,[1.2972373 3.2972372 1.2989552],[-0.01577711  2.40255404],2.910325050354004,0.7071069478988647,2.747141122817993,False,False
14,14,[1.2972373 3.2972372 1.2989552],[-0.02664745  2.3964653 ],2.916985273361206,0.7071069478988647,2.760045289993286,False,False
15,15,[1.2972373 3.2972372 1.2989552],[-0.03750724  2.39028811],2.923546552658081,0.7071069478988647,2.772819995880127,False,False
16,16,[1.2972373 3.2972372 1.2989552],[-0.04835409  2.38402176],2.9300098419189453,0.7071069478988647,2.7854602336883545,False,False
17,17,[1.2972373 3.2972372 1.2989552],[-0.05918676  2.37766647],2.9363725185394287,0.7071069478988647,2.7979576587677,False,False
18,18,[1.2972373 3.2972372 1.2989552],[-0.07000524  2.37122178],2.9426348209381104,0.7071069478988647,2.810307025909424,False,False
19,19,[1.2972373 3.2972372 1.2989552],[-0.08080816  2.36468887],2.9487948417663574,0.7071069478988647,2.8224997520446777,False,False
20,20,[1.2972373 3.2972372 1.2989552],[-0.09159464  2.35806632],2.95485258102417,0.7071069478988647,2.8345303535461426,False,False
21,21,[1.2972373 3.2972372 1.2989552],[-0.10236317  2.35135508],2.960805654525757,0.7071069478988647,2.8463897705078125,False,False
22,22,[1.2972373 3.2972372 1.2989552],[-0.11311293  2.34455442],2.9666545391082764,0.7071069478988647,2.858072280883789,False,False
23,23,[1.2972373 3.2972372 1.2989552],[-0.12384218  2.33766508],2.9723973274230957,0.7071069478988647,2.869570255279541,False,False
24,24,[1.2972373 3.2972372 1.2989552],[-0.13455015  2.33068585],2.9780330657958984,0.7071069478988647,2.880875587463379,False,False
25,25,[1.2972373 3.2972372 1.2989552],[-0.14523637  2.32361794],2.9835610389709473,0.7071069478988647,2.891981601715088,False,False
26,26,[1.2972373 3.2972372 1.2989552],[-0.15589881  2.31646109],2.988980770111084,0.7071069478988647,2.9028801918029785,False,False
27,27,[1.2972373 3.2972372 1.2989552],[-0.16653782  2.30921555],2.994291067123413,0.7071069478988647,2.913564443588257,False,False
28,28,[1.2972373 3.2972372 1.2989552],[-0.17714959  2.30188131],2.999490261077881,0.7071069478988647,2.924025297164917,False,False
29,29,[1.2972373 3.2972372 1.2989552],[-0.18773603  2.29445839],3.0045783519744873,0.7071069478988647,2.9342563152313232,False,False
30,30,[1.2972373 3.2972372 1.2989552],[-0.19829524  2.28694677],3.009554624557495,0.7071069478988647,2.9442496299743652,False,False
31,31,[1.2972373 3.2972372 1.2989552],[-0.20882422  2.27934742],3.0144174098968506,0.7071069478988647,2.9539968967437744,False,False
32,32,[1.2972373 3.2972372 1.2989552],[-0.21932489  2.2716589 ],3.019167423248291,0.7071069478988647,2.9634923934936523,False,False
33,33,[1.2972373 3.2972372 1.2989552],[-0.22979313  2.26388359],3.023801803588867,0.7071069478988647,2.9727253913879395,False,False
34,34,[1.2972373 3.2972372 1.2989552],[-0.24023002  2.25601959],3.0283217430114746,0.7071069478988647,2.9816911220550537,False,False
35,35,[1.2972373 3.2972372 1.2989552],[-0.25063407  2.24806786],3.0327255725860596,0.7071069478988647,2.9903805255889893,False,False
36,36,[1.2972373 3.2972372 1.2989552],[-0.26100332  2.24002957],3.0370125770568848,0.7071069478988647,2.9987854957580566,False,False
37,37,[1.2972373 3.2972372 1.2989552],[-0.27133709  2.23190451],3.041182041168213,0.70710688829422,3.0069000720977783,False,False
38,38,[1.2972373 3.2972372 1.2989552],[-0.28163469  2.22369194],3.045233726501465,0.70710688829422,3.0147154331207275,False,False
39,39,[1.2972373 3.2972372 1.2989552],[-0.29189557  2.21539283],3.0491669178009033,0.70710688829422,3.0222256183624268,False,False
40,40,[1.2972373 3.2972372 1.2989552],[-0.30211627  2.20700788],3.0529801845550537,0.70710688829422,3.029421091079712,False,False
41,41,[1.2972373 3.2972372 1.2989552],[-0.31229818  2.19853663],3.0566742420196533,0.70710688829422,3.03629732131958,False,False
42,42,[1.2972373 3.2972372 1.2989552],[-0.32243901  2.18998051],3.0602471828460693,0.70710688829422,3.0428450107574463,False,False
43,43,[1.2972373 3.2972372 1.2989552],[-0.33253819  2.18133879],3.06369948387146,0.70710688829422,3.0490593910217285,False,False
44,44,[1.2972373 3.2972372 1.2989552],[-0.34259498  2.17261195],3.067030191421509,0.70710688829422,3.054931879043579,False,False
45,45,[1.2972373 3.2972372 1.2989552],[-0.35260707  2.16380191],3.0702383518218994,0.70710688829422,3.060455799102783,False,False
46,46,[1.2972373 3.2972372 1.2989552],[-0.36257517  2.15490746],3.073324203491211,0.70710688829422,3.065626859664917,False,False
47,47,[1.2972373 3.2972372 1.2989552],[-0.37249565  2.14592934],3.076286792755127,0.70710688829422,3.0704362392425537,False,False
48,48,[1.2972373 3.2972372 1.2989552],[-0.38237089  2.13686776],3.0791265964508057,0.70710688829422,3.0748796463012695,False,False
49,49,[1.2972373 3.2972372 1.2989552],[-0.39219695  2.12772346],3.0818421840667725,0.70710688829422,3.0789506435394287,False,False
50,50,[1.2972373 3.2972372 1.2989552],[-0.40197492  2.11849737],3.0844333171844482,0.70710688829422,3.082643747329712,False,False
51,51,[1.2972373 3.2972372 1.2989552],[-0.41170192  2.10918951],3.086899995803833,0.70710688829422,3.0859527587890625,False,False
52,52,[1.2972373 3.2972372 1.2989552],[-0.42137903  2.09980083],3.0892422199249268,0.70710688829422,3.088874101638794,False,False
53,53,[1.2972373 3.2972372 1.2989552],[-0.4310025   2.09033155],3.0914580821990967,0.70710688829422,3.0914013385772705,False,False
54,54,[1.2972373 3.2972372 1.2989552],[-0.44057393  2.08078146],3.0935487747192383,0.70710688829422,3.0935311317443848,False,False
55,55,[1.2972373 3.2972372 1.2989552],[-0.45009118  2.07115221],3.0955147743225098,0.70710688829422,3.0952587127685547,False,False
56,56,[1.2972373 3.2972372 1.2989552],[-0.45955294  2.06144428],3.09735369682312,0.70710688829422,3.096579074859619,False,False
57,57,[1.2972373 3.2972372 1.2989552],[-0.46895874  2.05165839],3.0990664958953857,0.70710688829422,3.097489833831787,False,False
58,58,[1.2972373 3.2972372 1.2989552],[-0.47830784  2.0417943 ],3.1006529331207275,0.70710688829422,3.097987413406372,False,False
59,59,[1.2972373 3.2972372 1.2989552],[-0.48760003  2.03185248],3.1021132469177246,0.70710688829422,3.0980687141418457,False,False
60,60,[1.2972373 3.2972372 1.2989552],[-0.49683231  2.02183437],3.1034467220306396,0.70710688829422,3.0977306365966797,False,False
61,61,[1.2972373 3.2972372 1.2989552],[-0.50600529  2.01174068],3.1046533584594727,0.70710688829422,3.096970319747925,False,False
62,62,[1.2972373 3.2972372 1.2989552],[-0.51511687  2.00157189],3.1057326793670654,0.70710688829422,3.0957865715026855,False,False
63,63,[1.2972373 3.2972372 1.2989552],[-0.52416742  1.99132848],3.1066854000091553,0.70710688829422,3.09417724609375,False,False
64,64,[1.2972373 3.2972372 1.2989552],[-0.53315616  1.98101103],3.1075117588043213,0.7071069478988647,3.0921409130096436,False,False
65,65,[1.2972373 3.2972372 1.2989552],[-0.54208124  1.97062063],3.108210563659668,0.7071069478988647,3.089676856994629,False,False
66,66,[1.2972373 3.2972372 1.2989552],[-0.55094182  1.96015728],3.1087827682495117,0.7071070075035095,3.0867843627929688,False,False
67,67,[1.2972373 3.2972372 1.2989552],[-0.55973655  1.94962335],3.1092281341552734,0.7071070075035095,3.083462953567505,False,False
68,68,[1.2972373 3.2972372 1.2989552],[-0.56846714  1.93901801],3.109546661376953,0.7071070075035095,3.0797128677368164,False,False
69,69,[1.2972373 3.2972372 1.2989552],[-0.57713091  1.92834198],3.109738826751709,0.7071070075035095,3.0755341053009033,False,False
70,70,[1.2972373 3.2972372 1.2989552],[-0.58572727  1.91759706],3.109804391860962,0.7071070075035095,3.0709280967712402,False,False
71,71,[1.2972373 3.2972372 1.2989552],[-0.59425479  1.90678287],3.109743595123291,0.7071070075035095,3.0658957958221436,False,False
72,72,[1.2972373 3.2972372 1.2989552],[-0.60271424  1.89590073],3.1095569133758545,0.7071070075035095,3.060438394546509,False,False
73,73,[1.2972373 3.2972372 1.2989552],[-0.6111024  1.8849529],3.1092443466186523,0.7071070075035095,3.054558038711548,False,False
74,74,[1.2972373 3.2972372 1.2989552],[-0.61942148  1.8739382 ],3.1088063716888428,0.7071070075035095,3.0482571125030518,False,False
75,75,[1.2972373 3.2972372 1.2989552],[-0.6276682   1.86285782],3.108242988586426,0.7071070075035095,3.0415375232696533,False,False
76,76,[1.2972373 3.2972372 1.2989552],[-0.63584399  1.85171318],3.1075541973114014,0.7071070075035095,3.034403085708618,False,False
77,77,[1.2972373 3.2972372 1.2989552],[-0.64394695  1.84050417],3.106741189956665,0.7071070075035095,3.026855945587158,False,False
78,78,[1.2972373 3.2972372 1.2989552],[-0.65197593  1.82923269],3.105803966522217,0.7071070075035095,3.0189008712768555,False,False
79,79,[1.2972373 3.2972372 1.2989552],[-0.6599313   1.81789911],3.104743003845215,0.7071070075035095,3.010540723800659,False,False
80,80,[1.2972373 3.2972372 1.2989552],[-0.66781253  1.80650449],3.10355806350708,0.7071070075035095,3.0017800331115723,False,False
81,81,[1.2972373 3.2972372 1.2989552],[-0.67561793  1.79504967],3.102250337600708,0.7071070075035095,2.992623805999756,False,False
82,82,[1.2972373 3.2972372 1.2989552],[-0.68334723  1.78353596],3.1008200645446777,0.7071070075035095,2.9830760955810547,False,False
83,83,[1.2972373 3.2972372 1.2989552],[-0.69099975  1.77196383],3.0992674827575684,0.7071070075035095,2.973142623901367,False,False
84,84,[1.2972373 3.2972372 1.2989552],[-0.69857585  1.76033378],3.0975935459136963,0.7071070075035095,2.9628279209136963,False,False
85,85,[1.2972373 3.2972372 1.2989552],[-0.70607346  1.7486465 ],3.095798969268799,0.7071070075035095,2.9521379470825195,False,False
86,86,[1.2972373 3.2972372 1.2989552],[-0.71349239  1.73690546],3.093883514404297,0.7071070075035095,2.9410793781280518,False,False
87,87,[1.2972373 3.2972372 1.2989552],[-0.72083348  1.72510707],3.091848611831665,0.7071070075035095,2.9296560287475586,False,False
88,88,[1.2972373 3.2972372 1.2989552],[-0.72809523  1.713256  ],3.0896944999694824,0.7071070075035095,2.9178762435913086,False,False
89,89,[1.2972373 3.2972372 1.2989552],[-0.73527658  1.701352  ],3.0874218940734863,0.7071070075035095,2.905745506286621,False,False
90,90,[1.2972373 3.2972372 1.2989552],[-0.74237752  1.6893971 ],3.085031509399414,0.7071070075035095,2.8932716846466064,False,False
