,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[3.336017  3.3343153 1.3359632],[-0.44091368  1.06334877],3.4467411041259766,1.0,3.4467411041259766,False,False
1,1,[3.336017  3.3343153 1.3359632],[-0.45276666  1.05019093],3.4306204319000244,1.0,3.4306204319000244,False,False
2,2,[3.336017  3.3343153 1.3359632],[-0.46450794  1.03699923],3.4145984649658203,1.0,3.4145984649658203,False,False
3,3,[3.336017  3.3343153 1.3359632],[-0.4761402   1.02377331],3.398681402206421,1.0,3.398681402206421,False,False
4,4,[3.336017  3.3343153 1.3359632],[-0.48766524  1.01051474],3.3828749656677246,1.0,3.3828749656677246,False,False
5,5,[3.336017  3.3343153 1.3359632],[-0.49908185  0.99722826],3.3671884536743164,1.0,3.3671884536743164,False,False
6,6,[3.336017  3.3343153 1.3359632],[-0.51039374  0.98391294],3.3516266345977783,1.0,3.3516266345977783,False,False
7,7,[3.336017  3.3343153 1.3359632],[-0.52160126  0.97057205],3.336196184158325,1.0,3.336196184158325,False,False
8,8,[3.336017  3.3343153 1.3359632],[-0.53270578  0.95720696],3.320904493331909,1.0,3.320904493331909,False,False
9,9,[3.336017  3.3343153 1.3359632],[-0.54370862  0.94382024],3.305755853652954,1.0,3.305755853652954,False,False
10,10,[3.336017  3.3343153 1.3359632],[-0.5546124  0.9304117],3.290757894515991,1.0,3.290757894515991,False,False
11,11,[3.336017  3.3343153 1.3359632],[-0.56541705  0.91698438],3.275918960571289,1.0,3.275918960571289,False,False
12,12,[3.336017  3.3343153 1.3359632],[-0.57612425  0.90354037],3.261244773864746,1.0,3.261244773864746,False,False
13,13,[3.336017  3.3343153 1.3359632],[-0.58673573  0.89008141],3.2467381954193115,1.0,3.2467381954193115,False,False
14,14,[3.336017  3.3343153 1.3359632],[-0.59725344  0.87660795],3.232407808303833,1.0,3.232407808303833,False,False
15,15,[3.336017  3.3343153 1.3359632],[-0.60767895  0.86312169],3.21825909614563,1.0,3.21825909614563,False,False
16,16,[3.336017  3.3343153 1.3359632],[-0.61801332  0.84962487],3.204298496246338,1.0,3.204298496246338,False,False
17,17,[3.336017  3.3343153 1.3359632],[-0.62825841  0.83611959],3.1905288696289062,1.0,3.1905288696289062,False,False
18,18,[3.336017  3.3343153 1.3359632],[-0.63841695  0.82260466],3.1769583225250244,1.0,3.1769583225250244,False,False
19,19,[3.336017  3.3343153 1.3359632],[-0.64848858  0.80908531],3.163590669631958,1.0,3.163590669631958,False,False
20,20,[3.336017  3.3343153 1.3359632],[-0.65847629  0.79555994],3.1504359245300293,1.0,3.1504359245300293,False,False
21,21,[3.336017  3.3343153 1.3359632],[-0.66838038  0.78203285],3.137495994567871,1.0,3.137495994567871,False,False
22,22,[3.336017  3.3343153 1.3359632],[-0.67820454  0.76850235],3.124774217605591,1.0,3.124774217605591,False,False
23,23,[3.336017  3.3343153 1.3359632],[-0.68794936  0.75497192],3.112276554107666,1.0,3.112276554107666,False,False
24,24,[3.336017  3.3343153 1.3359632],[-0.69761646  0.74144226],3.1000115871429443,1.0,3.1000115871429443,False,False
25,25,[3.336017  3.3343153 1.3359632],[-0.70720702  0.72791553],3.087982654571533,1.0,3.087982654571533,False,False
