,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[3.3006206 3.3022788 3.3005178],[2.03397942 1.16357136],2.2254409790039062,0.7071067690849304,2.225215435028076,False,False
1,1,[3.3006206 3.3022788 3.3005178],[2.02890635 1.15872574],2.231262445449829,0.7071067690849304,2.2308459281921387,False,False
2,2,[3.3006206 3.3022788 3.3005178],[2.02377081 1.15389061],2.23701810836792,0.7071067690849304,2.2363498210906982,False,False
3,3,[3.3006206 3.3022788 3.3005178],[2.01857352 1.14906693],2.2427074909210205,0.7071067690849304,2.241724729537964,False,False
4,4,[3.3006206 3.3022788 3.3005178],[2.0133152 1.1442529],2.248328447341919,0.7071067690849304,2.246967315673828,False,False
5,5,[3.3006206 3.3022788 3.3005178],[2.00799441 1.13945079],2.2538816928863525,0.7071067690849304,2.2520761489868164,False,False
6,6,[3.3006206 3.3022788 3.3005178],[2.00261164 1.13466144],2.2593657970428467,0.7071067690849304,2.2570483684539795,False,False
7,7,[3.3006206 3.3022788 3.3005178],[1.99716687 1.12988353],2.2647812366485596,0.7071067690849304,2.2618825435638428,False,False
8,8,[3.3006206 3.3022788 3.3005178],[1.99165988 1.12511992],2.2701256275177,0.7071068286895752,2.2665746212005615,False,False
9,9,[3.3006206 3.3022788 3.3005178],[1.98609233 1.1203692 ],2.2753987312316895,0.7071068286895752,2.271123170852661,False,False
10,10,[3.3006206 3.3022788 3.3005178],[1.98046136 1.11563301],2.2806010246276855,0.7071068286895752,2.275527238845825,False,False
11,11,[3.3006206 3.3022788 3.3005178],[1.97476733 1.11091185],2.2857322692871094,0.7071067690849304,2.2797837257385254,False,False
12,12,[3.3006206 3.3022788 3.3005178],[1.9690125  1.10620689],2.290789842605591,0.7071067690849304,2.2838895320892334,False,False
13,13,[3.3006206 3.3022788 3.3005178],[1.96319437 1.10151792],2.2957754135131836,0.7071067690849304,2.287844657897949,False,False
14,14,[3.3006206 3.3022788 3.3005178],[1.95731485 1.09684646],2.3006865978240967,0.7071067690849304,2.29164457321167,False,False
15,15,[3.3006206 3.3022788 3.3005178],[1.95137274 1.09219074],2.3055248260498047,0.7071067690849304,2.295289993286133,False,False
16,16,[3.3006206 3.3022788 3.3005178],[1.94536841 1.08755374],2.3102879524230957,0.7071067690849304,2.298776626586914,False,False
17,17,[3.3006206 3.3022788 3.3005178],[1.93930101 1.08293462],2.3149774074554443,0.7071067690849304,2.3021039962768555,False,False
18,18,[3.3006206 3.3022788 3.3005178],[1.93317163 1.07833481],2.3195910453796387,0.7071067690849304,2.3052704334259033,False,False
19,19,[3.3006206 3.3022788 3.3005178],[1.92697906 1.07375526],2.324129581451416,0.7071067690849304,2.3082728385925293,False,False
20,20,[3.3006206 3.3022788 3.3005178],[1.92072678 1.06919408],2.3285913467407227,0.7071067690849304,2.311110019683838,False,False
21,21,[3.3006206 3.3022788 3.3005178],[1.91441178 1.06465411],2.3329765796661377,0.7071067690849304,2.3137803077697754,False,False
22,22,[3.3006206 3.3022788 3.3005178],[1.90803552 1.06013584],2.3372855186462402,0.7071067690849304,2.3162827491760254,False,False
23,23,[3.3006206 3.3022788 3.3005178],[1.90159786 1.05563784],2.341517448425293,0.7071067690849304,2.3186147212982178,False,False
24,24,[3.3006206 3.3022788 3.3005178],[1.89509583 1.05116391],2.3456735610961914,0.7071067690849304,2.3207767009735107,False,False
25,25,[3.3006206 3.3022788 3.3005178],[1.88853312 1.04671359],2.3497514724731445,0.7071067690849304,2.322765350341797,False,False
26,26,[3.3006206 3.3022788 3.3005178],[1.88190961 1.04228449],2.3537521362304688,0.7071067690849304,2.324579954147339,False,False
27,27,[3.3006206 3.3022788 3.3005178],[1.87522471 1.03787947],2.3576748371124268,0.7071067690849304,2.3262197971343994,False,False
28,28,[3.3006206 3.3022788 3.3005178],[1.8684783  1.03349924],2.3615198135375977,0.7071067690849304,2.3276829719543457,False,False
29,29,[3.3006206 3.3022788 3.3005178],[1.86167169 1.02914453],2.365286111831665,0.7071067690849304,2.3289682865142822,False,False
30,30,[3.3006206 3.3022788 3.3005178],[1.8548038  1.02481318],2.3689746856689453,0.7071067690849304,2.330075740814209,False,False
31,31,[3.3006206 3.3022788 3.3005178],[1.84787583 1.02050948],2.3725850582122803,0.7071067690849304,2.3310039043426514,False,False
32,32,[3.3006206 3.3022788 3.3005178],[1.84088588 1.01623273],2.3761179447174072,0.7071067690849304,2.331752300262451,False,False
33,33,[3.3006206 3.3022788 3.3005178],[1.83383799 1.01198077],2.379570960998535,0.7071067690849304,2.3323187828063965,False,False
34,34,[3.3006206 3.3022788 3.3005178],[1.8267287  1.00775814],2.3829469680786133,0.7071067690849304,2.332704782485962,False,False
35,35,[3.3006206 3.3022788 3.3005178],[1.81956017 1.00356174],2.386245012283325,0.7071067690849304,2.332909345626831,False,False
36,36,[3.3006206 3.3022788 3.3005178],[1.81233168 0.99939346],2.389464855194092,0.7071067690849304,2.3329312801361084,False,False
37,37,[3.3006206 3.3022788 3.3005178],[1.80504298 0.99525464],2.392606735229492,0.7071067690849304,2.3327696323394775,False,False
38,38,[3.3006206 3.3022788 3.3005178],[1.79769659 0.99114394],2.3956706523895264,0.7071067690849304,2.3324265480041504,False,False
39,39,[3.3006206 3.3022788 3.3005178],[1.79029036 0.9870643 ],2.3986570835113525,0.7071067690849304,2.3318991661071777,False,False
