,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[3.218784  5.219015  3.2188857],[2.03397942 1.16357136],0.9999999403953552,0.31777361035346985,2.225215435028076,False,False
1,1,[3.218784  5.219015  3.2188857],[2.03173327 1.1613636 ],1.0,0.31741252541542053,2.227755308151245,False,False
2,2,[3.218784  5.219015  3.2188857],[2.02948356 1.15915561],1.0000001192092896,0.317056804895401,2.23026442527771,False,False
3,3,[3.218784  5.219015  3.2188857],[2.02722788 1.15694594],0.9999998807907104,0.31670600175857544,2.23274564743042,False,False
4,4,[3.218784  5.219015  3.2188857],[2.0249691 1.154737 ],0.9999999403953552,0.3163606524467468,2.2351949214935303,False,False
5,5,[3.218784  5.219015  3.2188857],[2.02270436 1.15252805],0.9999999403953552,0.3160203695297241,2.2376153469085693,False,False
6,6,[3.218784  5.219015  3.2188857],[2.02043438 1.1503185 ],1.0,0.3156851828098297,2.2400057315826416,False,False
7,7,[3.218784  5.219015  3.2188857],[2.0181613  1.14810848],1.0,0.3153552711009979,2.2423653602600098,False,False
8,8,[3.218784  5.219015  3.2188857],[2.01588225 1.14589953],1.0,0.3150302767753601,2.2446954250335693,False,False
9,9,[3.218784  5.219015  3.2188857],[2.01359868 1.14368987],0.9999998807907104,0.314710408449173,2.246994972229004,False,False
10,10,[3.218784  5.219015  3.2188857],[2.01130962 1.14148045],1.0,0.31439563632011414,2.2492640018463135,False,False
11,11,[3.218784  5.219015  3.2188857],[2.00901675 1.13927126],1.0,0.31408584117889404,2.2515032291412354,False,False
12,12,[3.218784  5.219015  3.2188857],[2.0067184  1.13706267],1.0,0.3137810528278351,2.253711700439453,False,False
13,13,[3.218784  5.219015  3.2188857],[2.0044148 1.1348536],0.9999999403953552,0.3134812116622925,2.255890130996704,False,False
14,14,[3.218784  5.219015  3.2188857],[2.00210524 1.13264632],1.0,0.313186377286911,2.25803804397583,False,False
15,15,[3.218784  5.219015  3.2188857],[1.99979329 1.13043761],1.0,0.3128965497016907,2.260155200958252,False,False
16,16,[3.218784  5.219015  3.2188857],[1.99747586 1.12822962],0.9999999403953552,0.3126116394996643,2.2622411251068115,False,False
17,17,[3.218784  5.219015  3.2188857],[1.99515367 1.12602198],1.0,0.3123316764831543,2.264296531677246,False,False
18,18,[3.218784  5.219015  3.2188857],[1.99282718 1.12381518],1.0,0.3120567202568054,2.2663204669952393,False,False
19,19,[3.218784  5.219015  3.2188857],[1.99049497 1.12160873],1.0,0.3117864429950714,2.2683143615722656,False,False
20,20,[3.218784  5.219015  3.2188857],[1.98815799 1.11940265],0.9999999403953552,0.31152108311653137,2.270277976989746,False,False
21,21,[3.218784  5.219015  3.2188857],[1.98581624 1.11719668],1.0,0.3112606108188629,2.272210121154785,False,False
22,22,[3.218784  5.219015  3.2188857],[1.98347151 1.11499035],1.0000001192092896,0.31100499629974365,2.2741105556488037,False,False
23,23,[3.218784  5.219015  3.2188857],[1.98112082 1.11278594],0.9999999403953552,0.3107542097568512,2.275980234146118,False,False
24,24,[3.218784  5.219015  3.2188857],[1.97876453 1.11058187],1.0,0.3105081021785736,2.2778196334838867,False,False
25,25,[3.218784  5.219015  3.2188857],[1.97640502 1.10837734],1.0,0.3102668225765228,2.2796273231506348,False,False
