,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[3.2039857 1.2040253 3.2023022],[0.99148679 0.76837432],2.852015495300293,1.0882558822631836,1.6559826135635376,False,False
1,1,[3.2039857 1.2040253 3.2023022],[0.98080754 0.76630092],2.8500723838806152,1.092627763748169,1.649126648902893,False,False
2,2,[3.2039857 1.2040253 3.2023022],[0.97014689 0.7642436 ],2.848158836364746,1.096856713294983,1.6426048278808594,False,False
3,3,[3.2039857 1.2040253 3.2023022],[0.95950711 0.76220101],2.8462836742401123,1.1009304523468018,1.6364282369613647,False,False
4,4,[3.2039857 1.2040253 3.2023022],[0.94888532 0.76017237],2.844454288482666,1.10483980178833,1.6306016445159912,False,False
5,5,[3.2039857 1.2040253 3.2023022],[0.9382844  0.75815701],2.8426811695098877,1.1085702180862427,1.6251386404037476,False,False
6,6,[3.2039857 1.2040253 3.2023022],[0.92770106 0.75615323],2.8409714698791504,1.1121134757995605,1.6200430393218994,False,False
7,7,[3.2039857 1.2040253 3.2023022],[0.91713929 0.75416023],2.8393356800079346,1.1154570579528809,1.6153266429901123,False,False
8,8,[3.2039857 1.2040253 3.2023022],[0.90659636 0.7521767 ],2.8377811908721924,1.1185925006866455,1.61099374294281,False,False
9,9,[3.2039857 1.2040253 3.2023022],[0.89607304 0.75020194],2.836317300796509,1.1215109825134277,1.607050895690918,False,False
10,10,[3.2039857 1.2040253 3.2023022],[0.88556671 0.74823475],2.8349497318267822,1.1242055892944336,1.603501319885254,False,False
11,11,[3.2039857 1.2040253 3.2023022],[0.87507898 0.74627441],2.833688497543335,1.126666784286499,1.6003528833389282,False,False
12,12,[3.2039857 1.2040253 3.2023022],[0.8646096  0.74431938],2.8325397968292236,1.1288886070251465,1.5976089239120483,False,False
13,13,[3.2039857 1.2040253 3.2023022],[0.85415745 0.74236906],2.831510305404663,1.1308656930923462,1.5952723026275635,False,False
14,14,[3.2039857 1.2040253 3.2023022],[0.84372258 0.74042165],2.8306055068969727,1.1325932741165161,1.5933458805084229,False,False
15,15,[3.2039857 1.2040253 3.2023022],[0.83330303 0.73847687],2.829831838607788,1.1340672969818115,1.5918309688568115,False,False
16,16,[3.2039857 1.2040253 3.2023022],[0.82289916 0.73653352],2.829193592071533,1.1352838277816772,1.5907305479049683,False,False
17,17,[3.2039857 1.2040253 3.2023022],[0.81250906 0.73458982],2.8286945819854736,1.1362420320510864,1.5900434255599976,False,False
18,18,[3.2039857 1.2040253 3.2023022],[0.80213338 0.73264569],2.828338623046875,1.1369401216506958,1.589769959449768,False,False
19,19,[3.2039857 1.2040253 3.2023022],[0.79177034 0.73069948],2.828127861022949,1.1373765468597412,1.5899109840393066,False,False
20,20,[3.2039857 1.2040253 3.2023022],[0.78141791 0.72875047],2.828063726425171,1.1375538110733032,1.5904622077941895,False,False
21,21,[3.2039857 1.2040253 3.2023022],[0.77107787 0.7267974 ],2.8281478881835938,1.1374722719192505,1.5914231538772583,False,False
22,22,[3.2039857 1.2040253 3.2023022],[0.76074618 0.72483921],2.8283796310424805,1.1371349096298218,1.592790126800537,False,False
23,23,[3.2039857 1.2040253 3.2023022],[0.75042349 0.72287524],2.828758955001831,1.13654363155365,1.5945603847503662,False,False
24,24,[3.2039857 1.2040253 3.2023022],[0.74011034 0.72090429],2.829284191131592,1.1357026100158691,1.5967298746109009,False,False
25,25,[3.2039857 1.2040253 3.2023022],[0.72980243 0.71892518],2.8299524784088135,1.1346173286437988,1.5992927551269531,False,False
26,26,[3.2039857 1.2040253 3.2023022],[0.71950096 0.71693665],2.830761671066284,1.1332918405532837,1.602245807647705,False,False
27,27,[3.2039857 1.2040253 3.2023022],[0.70920587 0.71493787],2.8317084312438965,1.1317310333251953,1.6055837869644165,False,False
28,28,[3.2039857 1.2040253 3.2023022],[0.69891262 0.71292853],2.8327865600585938,1.1299445629119873,1.609296202659607,False,False
29,29,[3.2039857 1.2040253 3.2023022],[0.68862391 0.71090639],2.833993911743164,1.127935767173767,1.61338210105896,False,False
30,30,[3.2039857 1.2040253 3.2023022],[0.67833716 0.7088713 ],2.835322141647339,1.1257150173187256,1.617829442024231,False,False
31,31,[3.2039857 1.2040253 3.2023022],[0.66805214 0.70682192],2.8367674350738525,1.123287320137024,1.6226351261138916,False,False
32,32,[3.2039857 1.2040253 3.2023022],[0.6577667  0.70475817],2.8383212089538574,1.120664358139038,1.6277860403060913,False,False
33,33,[3.2039857 1.2040253 3.2023022],[0.64748156 0.70267838],2.8399782180786133,1.1178516149520874,1.6332783699035645,False,False
34,34,[3.2039857 1.2040253 3.2023022],[0.63719559 0.70058161],2.841731071472168,1.1148582696914673,1.639102816581726,False,False
35,35,[3.2039857 1.2040253 3.2023022],[0.626908  0.6984663],2.843571901321411,1.1116948127746582,1.6452504396438599,False,False
36,36,[3.2039857 1.2040253 3.2023022],[0.61661923 0.69633287],2.8454928398132324,1.108368992805481,1.651711344718933,False,False
37,37,[3.2039857 1.2040253 3.2023022],[0.60632753 0.69417953],2.8474857807159424,1.1048915386199951,1.65847647190094,False,False
38,38,[3.2039857 1.2040253 3.2023022],[0.59603286 0.69200569],2.849543333053589,1.1012699604034424,1.6655375957489014,False,False
39,39,[3.2039857 1.2040253 3.2023022],[0.58573568 0.68981034],2.8516571521759033,1.0975146293640137,1.6728847026824951,False,False
40,40,[3.2039857 1.2040253 3.2023022],[0.57543379 0.68759245],2.853818655014038,1.0936354398727417,1.680507779121399,False,False
41,41,[3.2039857 1.2040253 3.2023022],[0.56512827 0.68535149],2.856019973754883,1.089641809463501,1.6883959770202637,False,False
42,42,[3.2039857 1.2040253 3.2023022],[0.55481893 0.68308622],2.8582537174224854,1.08554208278656,1.6965413093566895,False,False
43,43,[3.2039857 1.2040253 3.2023022],[0.54450619 0.68079591],2.860511064529419,1.081346035003662,1.7049330472946167,False,False
