,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87132424 0.65425938],0.3119890093803406,0.7156113386154175,0.2797457277774811,False,False
1,1,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87127912 0.65409052],0.311964213848114,0.7156267166137695,0.2797495424747467,False,False
2,2,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.871234   0.65392184],0.3119392693042755,0.7156420350074768,0.2797532379627228,False,False
3,3,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87118888 0.65375304],0.3119142949581146,0.7156575322151184,0.2797568738460541,False,False
4,4,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87114382 0.65358424],0.3118891716003418,0.7156728506088257,0.2797603905200958,False,False
5,5,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.8710987  0.65341556],0.3118639290332794,0.7156882882118225,0.2797638177871704,False,False
6,6,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87105358 0.65324676],0.31183865666389465,0.7157036662101746,0.2797671854496002,False,False
7,7,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87100846 0.65307808],0.31181323528289795,0.7157191634178162,0.2797704041004181,False,False
8,8,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87096334 0.6529094 ],0.3117876946926117,0.7157345414161682,0.2797735333442688,False,False
9,9,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87091827 0.65274072],0.3117620646953583,0.7157499194145203,0.27977651357650757,False,False
10,10,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87087321 0.65257204],0.3117362856864929,0.7157653570175171,0.27977943420410156,False,False
11,11,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87082809 0.65240335],0.3117104768753052,0.7157807350158691,0.27978235483169556,False,False
12,12,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87078303 0.65223467],0.3116844892501831,0.7157961130142212,0.27978503704071045,False,False
13,13,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87073791 0.65206611],0.31165844202041626,0.715811550617218,0.27978768944740295,False,False
14,14,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87069285 0.65189743],0.31163227558135986,0.7158269882202148,0.2797901928424835,False,False
15,15,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87064773 0.65172881],0.3116060197353363,0.7158423662185669,0.2797926962375641,False,False
16,16,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87060273 0.65156025],0.3115796148777008,0.7158578038215637,0.27979496121406555,False,False
17,17,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87055761 0.65139163],0.31155312061309814,0.7158732414245605,0.279797226190567,False,False
18,18,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.8705126  0.65122306],0.3115265369415283,0.7158886790275574,0.27979928255081177,False,False
19,19,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87046748 0.65105456],0.31149986386299133,0.7159041166305542,0.2798014283180237,False,False
20,20,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87042242 0.650886  ],0.31147301197052,0.7159194946289062,0.2798033058643341,False,False
21,21,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.87037736 0.65071744],0.3114461600780487,0.7159349918365479,0.27980518341064453,False,False
22,22,[-0.14085673 -0.13173524 -0.14269549 -0.12461883],[0.8703323  0.65054893],0.3114190995693207,0.7159503698348999,0.279806911945343,False,False
