,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97681832 0.20656979],1.0,7.924073219299316,0.08931256830692291,False,False
1,1,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97675472 0.20603126],1.0,7.912907600402832,0.08950135856866837,False,False
2,2,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97669101 0.20549369],1.0,7.901820182800293,0.0896897166967392,False,False
3,3,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97662723 0.20495701],0.9999999403953552,7.890800476074219,0.08987773209810257,False,False
4,4,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97656333 0.20442122],0.9999999403953552,7.879858016967773,0.09006533026695251,False,False
5,5,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97649938 0.20388639],1.0,7.868982315063477,0.09025257080793381,False,False
6,6,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9764353  0.20335245],1.0,7.858185768127441,0.09043934941291809,False,False
7,7,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97637117 0.20281947],1.0,7.8474578857421875,0.09062576293945312,False,False
8,8,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97630692 0.20228744],1.0000001192092896,7.836808204650879,0.09081170707941055,False,False
9,9,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9762426  0.20175636],1.0,7.82622766494751,0.09099722653627396,False,False
10,10,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97617817 0.20122623],1.0,7.815720558166504,0.09118231385946274,False,False
11,11,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97611368 0.200697  ],1.0,7.805286407470703,0.0913669690489769,False,False
12,12,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97604907 0.20016873],0.9999999403953552,7.794924736022949,0.09155114740133286,False,False
13,13,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97598439 0.19964135],1.0,7.784636497497559,0.091734878718853,False,False
14,14,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9759196  0.19911498],1.0,7.774421215057373,0.09191813319921494,False,False
15,15,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97585475 0.1985895 ],1.0,7.764275074005127,0.09210094064474106,False,False
16,16,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97578984 0.19806504],1.0,7.754205226898193,0.0922832265496254,False,False
17,17,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97572476 0.19754148],0.9999999403953552,7.744203090667725,0.09246506541967392,False,False
18,18,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97565967 0.19701886],1.0,7.734279155731201,0.09264635294675827,False,False
19,19,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97559446 0.1964972 ],0.9999999403953552,7.724423408508301,0.09282717853784561,False,False
20,20,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97552913 0.1959765 ],1.0,7.714641094207764,0.09300746768712997,False,False
21,21,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97546375 0.19545674],0.9999999403953552,7.704934120178223,0.09318719804286957,False,False
22,22,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9753983 0.194938 ],1.0,7.695297718048096,0.09336642175912857,False,False
23,23,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97533274 0.19442016],0.9999999403953552,7.68572998046875,0.09354516118764877,False,False
24,24,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97526711 0.19390327],0.9999999403953552,7.676238059997559,0.09372328221797943,False,False
25,25,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97520137 0.19338739],1.0,7.666820049285889,0.09390086680650711,False,False
26,26,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97513556 0.19287246],1.0,7.657470226287842,0.09407791495323181,False,False
27,27,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9750697  0.19235849],1.0,7.648193836212158,0.09425437450408936,False,False
28,28,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97500372 0.19184548],0.9999998807907104,7.6389899253845215,0.09443024545907974,False,False
29,29,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97493768 0.19133341],0.9999999403953552,7.629857063293457,0.09460554271936417,False,False
30,30,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97487152 0.1908223 ],1.0,7.6208014488220215,0.09478019922971725,False,False
31,31,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9748053  0.19031221],1.0,7.61181116104126,0.09495432674884796,False,False
32,32,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97473902 0.18980312],1.0,7.602897644042969,0.09512777626514435,False,False
33,33,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97467262 0.18929493],1.0,7.59404993057251,0.09530069679021835,False,False
34,34,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97460616 0.18878776],1.0,7.585282325744629,0.09547287970781326,False,False
35,35,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97453964 0.18828154],0.9999999403953552,7.576579570770264,0.095644511282444,False,False
36,36,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.974473   0.18777633],1.0,7.5679545402526855,0.09581542760133743,False,False
37,37,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.9744063  0.18727207],1.0,7.559399127960205,0.09598573297262192,False,False
38,38,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97433949 0.18676877],1.0,7.5509161949157715,0.09615536034107208,False,False
39,39,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97427267 0.18626648],1.0,7.542506217956543,0.09632431715726852,False,False
40,40,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97420573 0.18576521],1.0,7.534167766571045,0.09649259597063065,False,False
41,41,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97413868 0.18526483],0.9999999403953552,7.525899887084961,0.09666020423173904,False,False
42,42,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97407162 0.18476552],1.0,7.517706394195557,0.09682707488536835,False,False
43,43,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97400445 0.18426716],1.0,7.509581565856934,0.09699329733848572,False,False
44,44,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97393715 0.18376982],0.9999999403953552,7.501532554626465,0.09715874493122101,False,False
45,45,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97386986 0.18327343],1.0,7.493553638458252,0.09732352197170258,False,False
46,46,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97380245 0.18277812],0.9999999403953552,7.485649108886719,0.09748753160238266,False,False
47,47,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97373503 0.1822837 ],1.0,7.477819442749023,0.09765075892210007,False,False
48,48,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97366744 0.18179035],1.0,7.470057010650635,0.09781330078840256,False,False
49,49,[-0.35055608 -0.371919   -0.3674038  -0.36927822],[0.97359985 0.18129796],0.9999999403953552,7.462367534637451,0.09797507524490356,False,False
