,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97681832 0.20656979],0.38448962569236755,0.714550793170929,0.08931256830692291,False,False
1,1,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97681427 0.2062785 ],0.3843349516391754,0.715317964553833,0.0893222764134407,False,False
2,2,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97681022 0.20598739],0.38418060541152954,0.716108500957489,0.08933193236589432,False,False
3,3,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97680616 0.20569658],0.384026437997818,0.7169193029403687,0.08934162557125092,False,False
4,4,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97680211 0.20540601],0.3838725984096527,0.717746913433075,0.08935128152370453,False,False
5,5,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97679806 0.20511568],0.383718878030777,0.7185882925987244,0.08936093747615814,False,False
6,6,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.976794   0.20482564],0.38356518745422363,0.7194408178329468,0.08937059342861176,False,False
7,7,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97678995 0.20453578],0.3834116756916046,0.7203026413917542,0.0893801674246788,False,False
8,8,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.9767859  0.20424622],0.3832581639289856,0.7211716771125793,0.08938981592655182,False,False
9,9,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97678185 0.20395696],0.3831048309803009,0.7220495939254761,0.08939938992261887,False,False
10,10,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97677779 0.20366788],0.38295143842697144,0.7229329347610474,0.08940894156694412,False,False
11,11,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97677374 0.20337903],0.3827979862689972,0.7238181829452515,0.08941850811243057,False,False
12,12,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97676969 0.20309055],0.38264453411102295,0.7247055768966675,0.08942805975675583,False,False
13,13,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97676563 0.20280224],0.3824910521507263,0.7255947589874268,0.08943763375282288,False,False
14,14,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97676158 0.20251417],0.3823375105857849,0.7264851331710815,0.08944711834192276,False,False
15,15,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97675753 0.2022264 ],0.38218384981155396,0.7273768186569214,0.08945662528276443,False,False
16,16,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97675347 0.20193893],0.382030189037323,0.7282699942588806,0.08946610987186432,False,False
17,17,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97674942 0.20165163],0.3818764388561249,0.729164183139801,0.08947557955980301,False,False
18,18,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97674537 0.20136464],0.3817225396633148,0.7300593256950378,0.0894850343465805,False,False
19,19,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97674125 0.20107788],0.3815686106681824,0.7309557795524597,0.08949451148509979,False,False
20,20,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.9767372  0.20079136],0.38141459226608276,0.7318530082702637,0.0895039364695549,False,False
21,21,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97673315 0.20050514],0.3812604248523712,0.7327510118484497,0.0895133912563324,False,False
22,22,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97672909 0.20021915],0.38110610842704773,0.7336499691009521,0.08952277153730392,False,False
23,23,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97672504 0.19993341],0.38095179200172424,0.7345499396324158,0.08953215926885605,False,False
24,24,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97672093 0.1996479 ],0.38079723715782166,0.7354503870010376,0.08954154700040817,False,False
25,25,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97671688 0.19936264],0.38064268231391907,0.7363518476486206,0.08955089002847672,False,False
26,26,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97671282 0.19907773],0.380487859249115,0.7372540235519409,0.08956027030944824,False,False
27,27,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97670871 0.19879299],0.3803330063819885,0.7381569147109985,0.08956961333751678,False,False
28,28,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97670466 0.1985085 ],0.38017794489860535,0.7390604615211487,0.08957891166210175,False,False
29,29,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.9767006  0.19822431],0.3800227642059326,0.7399647831916809,0.0895882397890091,False,False
30,30,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97669649 0.19794035],0.37986746430397034,0.7408698201179504,0.08959753811359406,False,False
31,31,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97669244 0.19765669],0.37971195578575134,0.7417754530906677,0.08960679918527603,False,False
32,32,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97668839 0.19737321],0.3795563876628876,0.7426818609237671,0.08961611986160278,False,False
33,33,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97668427 0.19709003],0.3794005811214447,0.7435888648033142,0.08962533622980118,False,False
34,34,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97668022 0.19680715],0.3792445957660675,0.7444965839385986,0.08963458240032196,False,False
35,35,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97667611 0.1965245 ],0.3790884017944336,0.7454048991203308,0.08964383602142334,False,False
36,36,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97667205 0.19624209],0.3789338171482086,0.7464246153831482,0.08965306729078293,False,False
37,37,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97666794 0.19595993],0.37877723574638367,0.7473262548446655,0.08966226130723953,False,False
38,38,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97666389 0.195678  ],0.37862053513526917,0.7482293248176575,0.08967145532369614,False,False
39,39,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97665977 0.19539636],0.37846359610557556,0.7491331100463867,0.08968062698841095,False,False
40,40,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97665566 0.19511497],0.3783065676689148,0.7500385046005249,0.08968979865312576,False,False
41,41,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97665161 0.19483387],0.3781493306159973,0.7509444355964661,0.0896989032626152,False,False
42,42,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97664756 0.19455302],0.3779918849468231,0.7518514394760132,0.08970800042152405,False,False
43,43,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97664344 0.1942724 ],0.37783434987068176,0.7527596354484558,0.08971718698740005,False,False
44,44,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97663933 0.19399208],0.3776766359806061,0.7536687254905701,0.08972624689340591,False,False
45,45,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97663522 0.19371206],0.37751874327659607,0.754578709602356,0.08973535150289536,False,False
46,46,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97663116 0.19343221],0.37736067175865173,0.7554894685745239,0.08974438160657883,False,False
47,47,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97662705 0.19315267],0.3772023618221283,0.7564011812210083,0.08975343406200409,False,False
48,48,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97662294 0.19287336],0.37704387307167053,0.7573135495185852,0.08976251631975174,False,False
49,49,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97661889 0.19259429],0.37688523530960083,0.758226752281189,0.08977150917053223,False,False
50,50,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97661477 0.19231552],0.37672632932662964,0.7591408491134644,0.08978051692247391,False,False
51,51,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97661066 0.19203699],0.3765672743320465,0.7600554823875427,0.08978955447673798,False,False
52,52,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97660655 0.19175875],0.37640801072120667,0.7609707117080688,0.08979853242635727,False,False
53,53,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97660244 0.19148076],0.3762485682964325,0.761886477470398,0.08980745822191238,False,False
54,54,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97659832 0.191203  ],0.3760889768600464,0.7628030180931091,0.08981642872095108,False,False
55,55,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97659427 0.1909256 ],0.3759290874004364,0.763719916343689,0.089825339615345,False,False
56,56,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97659016 0.19064832],0.3758258521556854,0.7646884918212891,0.08983425796031952,False,False
57,57,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97658604 0.19037133],0.375663697719574,0.765605092048645,0.08984315395355225,False,False
58,58,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97658193 0.19009459],0.3755013644695282,0.766522228717804,0.08985201269388199,False,False
59,59,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97657782 0.18981814],0.37533897161483765,0.7674400210380554,0.08986089378595352,False,False
60,60,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97657371 0.18954194],0.37517639994621277,0.768358588218689,0.08986979722976685,False,False
61,61,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97656959 0.18926603],0.3750136196613312,0.7692774534225464,0.08987856656312943,False,False
62,62,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97656548 0.18899035],0.3748507499694824,0.7701971530914307,0.08988744765520096,False,False
63,63,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97656137 0.18871492],0.3746877908706665,0.7711173295974731,0.08989620953798294,False,False
64,64,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97655725 0.18843979],0.37452462315559387,0.7720381617546082,0.0899050310254097,False,False
65,65,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97655314 0.18816489],0.3743612766265869,0.7729590535163879,0.08991385251283646,False,False
66,66,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97654903 0.18789029],0.3741978406906128,0.7738807797431946,0.08992256224155426,False,False
67,67,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97654492 0.18761599],0.37403416633605957,0.7748025059700012,0.08993134647607803,False,False
68,68,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.9765408  0.18734187],0.37387049198150635,0.7757251858711243,0.08994006365537643,False,False
69,69,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97653669 0.18706805],0.373706579208374,0.7766479849815369,0.08994875848293304,False,False
70,70,[-0.42148644 -0.44128528 -0.43710053 -0.43883753],[0.97653258 0.18679452],0.37354254722595215,0.7775715589523315,0.08995743840932846,False,False
