,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.30483216 4.42098331],1.0,1.0,1.0,False,False
1,1,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.30383217 4.41351652],1.0,1.0,1.0,False,False
2,2,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.30283219 4.40606928],1.0,1.0,1.0,False,False
3,3,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.3018322  4.39865208],1.0,1.0,1.0,False,False
4,4,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.30083221 4.39127493],1.0,1.0,1.0,False,False
5,5,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29983222 4.3839469 ],1.0,1.0,1.0,False,False
6,6,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29883224 4.37667751],1.0,1.0,1.0,False,False
7,7,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29783225 4.36947584],1.0,1.0,1.0,False,False
8,8,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29683226 4.36235142],1.0,1.0,1.0,False,False
9,9,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29583228 4.35531378],1.0,1.0,1.0,False,False
10,10,"[3.59492842e-05 4.67305660e-01 1.90663278e-01 3.01321030e-01
 3.97635430e-01 4.36340153e-01 1.90727562e-01 8.08026344e-02
 1.63396984e-01 1.18400969e-01 1.20229706e-01 4.27183628e-01
 4.15266514e-01 4.53174829e-01 2.68534869e-01 5.10091841e-01
 5.57827473e-01 4.37641829e-01 1.71329439e-01 2.10555539e-01
 1.48592085e-01 4.71306056e-01 3.37253988e-01 5.47896206e-01
 2.81394273e-01 5.33306956e-01 4.31626558e-01 3.03983390e-01
 1.80661768e-01 4.09554154e-01]",[0.29483229 4.34837103],1.0,1.0,1.0,False,False
