,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.3048369  4.42098331],0.9999998807907104,0.50669926404953,1.0,False,False
1,1,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.30384168 4.41340733],1.0,0.5067265033721924,1.0,False,False
2,2,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.30284649 4.40585136],1.0,0.5067711472511292,1.0,False,False
3,3,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.30185136 4.39832497],1.0,0.5068332552909851,1.0,False,False
4,4,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.30085629 4.39083672],0.9999999403953552,0.5069135427474976,1.0,False,False
5,5,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29986128 4.38339758],0.9999999403953552,0.5070126056671143,1.0,False,False
6,6,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29886636 4.37601471],0.9999999403953552,0.5071316361427307,1.0,False,False
7,7,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29787153 4.36869812],1.0,0.5072718262672424,1.0,False,False
8,8,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29687682 4.36145687],0.9999998211860657,0.5074340105056763,1.0,False,False
9,9,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29588225 4.35430002],1.0,0.5076207518577576,1.0,False,False
10,10,"[2.3522709e-05 3.4194306e-01 6.5304011e-02 1.7596169e-01 2.7227402e-01
 3.1097725e-01 6.5368295e-02 0.0000000e+00 3.8037471e-02 0.0000000e+00
 0.0000000e+00 3.0182117e-01 2.8990448e-01 3.2781187e-01 1.4317554e-01
 3.8472918e-01 4.3246493e-01 3.1227905e-01 4.5969866e-02 8.5196242e-02
 2.3232570e-02 3.4594339e-01 2.1189451e-01 4.2253348e-01 1.5603501e-01
 4.0794435e-01 3.0626386e-01 1.7862406e-01 5.5302467e-02 2.8419197e-01]",[0.29488784 4.34723568],1.0,0.5078333616256714,1.0,False,False
