iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.0660395473241806,0.04612748697400093
1,0.704767107963562,0.07830657809972763,0.07925184071063995,0.06604544073343277,0.046133264899253845
2,0.7046422362327576,0.07829150557518005,0.07923606038093567,0.06605146080255508,0.04613923281431198
3,0.7045173645019531,0.07827641069889069,0.07922022044658661,0.06605800986289978,0.046144671738147736
4,0.7043925523757935,0.07826132327318192,0.07920439541339874,0.06606417894363403,0.04615126550197601
5,0.7042677998542786,0.07824622839689255,0.07918857038021088,0.06607159227132797,0.04615803062915802
6,0.7041430473327637,0.07823113352060318,0.0791727602481842,0.06607857346534729,0.0461648590862751
7,0.7040184140205383,0.07821603864431381,0.07915690541267395,0.06608574837446213,0.046171750873327255
8,0.7038937211036682,0.07820093631744385,0.07914106547832489,0.06609264016151428,0.04617779329419136
9,0.7037690877914429,0.07818582653999329,0.07912524789571762,0.06610005348920822,0.046184834092855453
10,0.7036445736885071,0.07817071676254272,0.07910940796136856,0.06610621511936188,0.04619097337126732
11,0.7035200595855713,0.07815560698509216,0.0790935531258583,0.06611279398202896,0.04619721695780754
12,0.7033956050872803,0.07814048230648041,0.07907768338918686,0.06611999869346619,0.04620286077260971
13,0.7032711505889893,0.07812535762786865,0.0790618434548378,0.06612669676542282,0.04620916396379471
14,0.7031466960906982,0.0781102329492569,0.07904596626758575,0.06613456457853317,0.0462154746055603
15,0.7030224204063416,0.07809511572122574,0.0790300965309143,0.0661410465836525,0.04622228071093559
16,0.7028980851173401,0.07807998359203339,0.07901424169540405,0.06614777445793152,0.046229131519794464
17,0.702773928642273,0.07806484401226044,0.07899836450815201,0.0661548525094986,0.04623568430542946
18,0.7026496529579163,0.07804970443248749,0.07898249477148056,0.06616222858428955,0.04624192416667938
19,0.7025254964828491,0.07803456485271454,0.07896659523248672,0.06617025285959244,0.04624856263399124
20,0.702401340007782,0.07801942527294159,0.07895071804523468,0.06617731600999832,0.04625455290079117
21,0.7022773027420044,0.07800426334142685,0.07893481850624084,0.06618379801511765,0.0462602935731411
22,0.7021532654762268,0.0779891088604927,0.0789189264178276,0.06619112938642502,0.046266596764326096
23,0.7020291686058044,0.07797395437955856,0.07890301197767258,0.06619810312986374,0.04627249017357826
24,0.7019051909446716,0.07795879989862442,0.07888714224100113,0.06620611995458603,0.046279311180114746
25,0.7017812728881836,0.07794363051652908,0.0788712352514267,0.06621283292770386,0.04628565534949303
26,0.7016574144363403,0.07792846113443375,0.07885531336069107,0.06622043251991272,0.04629231244325638
27,0.7015334963798523,0.077913299202919,0.07883938401937485,0.06622665375471115,0.04629899933934212
28,0.7014097571372986,0.07789811491966248,0.07882349193096161,0.06623423099517822,0.04630543291568756
29,0.7012860178947449,0.07788293063640594,0.07880756258964539,0.06624098122119904,0.04631177335977554
30,0.7011622786521912,0.07786775380373001,0.07879161089658737,0.06624779105186462,0.046317897737026215
31,0.701038658618927,0.07785256952047348,0.07877568900585175,0.06625454127788544,0.046323683112859726
32,0.7009150385856628,0.07783737033605576,0.07875977456569672,0.06626155972480774,0.046330634504556656
33,0.7007914185523987,0.07782218605279922,0.0787438228726387,0.06626924872398376,0.046337421983480453
34,0.7006678581237793,0.0778069868683815,0.07872788608074188,0.06627649813890457,0.04634363204240799
35,0.7005443572998047,0.07779178023338318,0.07871192693710327,0.0662841871380806,0.046350277960300446
36,0.7004209160804749,0.07777658104896545,0.07869597524404526,0.06629212945699692,0.04635714739561081
37,0.7002975344657898,0.07776135951280594,0.07868003845214844,0.06629928201436996,0.046363938599824905
38,0.70017409324646,0.07774615287780762,0.07866405695676804,0.06630651652812958,0.04637133702635765
39,0.7000507712364197,0.0777309387922287,0.07864812016487122,0.06631307303905487,0.04637791961431503
40,0.6999275088310242,0.07771571725606918,0.07863212376832962,0.06631968170404434,0.046384088695049286
41,0.6998042464256287,0.07770048826932907,0.07861615717411041,0.06632736325263977,0.04639005288481712
42,0.6996809840202332,0.07768526673316956,0.0786001980304718,0.06633477658033371,0.046397533267736435
43,0.699557900428772,0.07767003029584885,0.07858418673276901,0.06634300947189331,0.04640412703156471
44,0.6994346976280212,0.07765479385852814,0.0785682201385498,0.06634970009326935,0.046410538256168365
45,0.6993115544319153,0.07763954997062683,0.07855222374200821,0.06635729223489761,0.04641738533973694
46,0.6991885900497437,0.07762430608272552,0.07853624224662781,0.066365085542202,0.046424515545368195
47,0.699065625667572,0.07760905474424362,0.07852024585008621,0.06637285649776459,0.0464315302670002
48,0.6989426016807556,0.07759381830692291,0.07850422710180283,0.06638102233409882,0.04643843695521355
49,0.698819637298584,0.07757855951786041,0.07848823070526123,0.06638757139444351,0.046444740146398544
50,0.6986968517303467,0.07756329327821732,0.07847223430871964,0.06639495491981506,0.046451352536678314
51,0.6985740065574646,0.07754802703857422,0.07845622301101685,0.06640181690454483,0.04645866900682449
52,0.6984511613845825,0.07753276824951172,0.07844019681215286,0.0664096251130104,0.04646604135632515
53,0.6983284950256348,0.07751749455928802,0.07842417061328888,0.0664181262254715,0.04647337645292282
54,0.6982057094573975,0.07750222086906433,0.0784081295132637,0.06642540544271469,0.046479951590299606
55,0.6980830430984497,0.07748693972826004,0.07839211076498032,0.06643317639827728,0.046486858278512955
56,0.697960376739502,0.07747164368629456,0.07837605476379395,0.06644053012132645,0.04649374634027481
57,0.697837769985199,0.07745636254549026,0.07836002856492996,0.06644787639379501,0.046500276774168015
58,0.697715163230896,0.07744106650352478,0.07834398001432419,0.06645504385232925,0.046507518738508224
59,0.6975927352905273,0.07742577791213989,0.07832793891429901,0.0664624497294426,0.046514324843883514
60,0.6974702477455139,0.07741048187017441,0.07831188291311264,0.06647080183029175,0.046522099524736404
