iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.9999999403953552,0.04612748697400093
1,0.6696619987487793,0.07367145270109177,0.07438496500253677,0.9999998807907104,0.0481492280960083
2,0.6390249729156494,0.0687800943851471,0.06924249231815338,0.9999999403953552,0.05114128068089485
3,0.6127678751945496,0.0635685995221138,0.06374852359294891,0.9999999403953552,0.0549098365008831
4,0.5911937952041626,0.057996608316898346,0.05785054713487625,1.0,0.058988843113183975
5,0.574978232383728,0.05209512636065483,0.051562175154685974,1.0,0.06281407177448273
6,0.5647925734519958,0.046034760773181915,0.04504184052348137,1.0,0.06249852478504181
7,0.5600572824478149,0.0403684638440609,0.03882484510540962,1.0,0.045756276696920395
8,0.5571883916854858,0.03622087091207504,0.033983007073402405,1.0,0.03305644541978836
9,0.5540900826454163,0.03348604589700699,0.03037247806787491,0.9999999403953552,0.026316266506910324
10,0.550726056098938,0.031505290418863297,0.027359168976545334,1.0,0.022356506437063217
11,0.5471523404121399,0.029953744262456894,0.024646535515785217,0.9999999403953552,0.01980239897966385
12,0.5434040427207947,0.02867092192173004,0.0220959410071373,1.0,0.018024396151304245
13,0.5395420789718628,0.027570653706789017,0.019640792161226273,0.9999999403953552,0.01663275621831417
14,0.5356477499008179,0.026606416329741478,0.017254214733839035,1.0,0.015452872030436993
15,0.5318078398704529,0.025745058432221413,0.014930708333849907,1.0,0.014450279995799065
16,0.5281157493591309,0.024966081604361534,0.012671996839344501,1.0,0.013506269082427025
17,0.5246577858924866,0.024259885773062706,0.010494569316506386,1.0,0.012539696879684925
18,0.5215609669685364,0.023625684902071953,0.00843730941414833,0.9999999403953552,0.011480724439024925
19,0.5188264846801758,0.023053137585520744,0.00657503679394722,1.0,0.010581975802779198
20,0.516377866268158,0.022509628906846046,0.004918782506138086,1.0,0.009994927793741226
21,0.514060378074646,0.021981216967105865,0.003395434934645891,0.9999999403953552,0.009765669703483582
22,0.5117462277412415,0.02144933119416237,0.001919326139613986,0.9999998807907104,0.009824872948229313
23,0.5093995332717896,0.02091844752430916,0.00043102732161059976,1.0,0.009886404499411583
24,0.5070716738700867,0.020396940410137177,0.00108044792432338,1.0,0.01655251905322075
25,0.5042316913604736,0.01968659833073616,0.0027266512624919415,0.9999999403953552,0.009920294396579266
26,0.502358615398407,0.019292162731289864,0.0005182025488466024,1.0000001192092896,0.008905776776373386
27,0.5004784464836121,0.018901335075497627,0.0010748350759968162,0.9999999403953552,0.01443273015320301
28,0.49858468770980835,0.018372535705566406,0.002967899665236473,1.0,0.0094041358679533
29,0.4981249272823334,0.01815248839557171,0.0004296276601962745,0.9999999403953552,0.007637003902345896
30,0.49795055389404297,0.01793300360441208,0.0006939240847714245,1.0,0.012500566430389881
31,0.495883584022522,0.017559563741087914,0.003325605532154441,1.0000001192092896,0.008198763243854046
32,0.4966362714767456,0.017478888854384422,0.0007671777275390923,0.9999999403953552,0.009103888645768166
33,0.49753352999687195,0.017280561849474907,0.00015609060938004404,1.0,0.012544508092105389
34,0.4952661991119385,0.016922155395150185,0.003654828993603587,0.9999999403953552,0.007997366599738598
35,0.4964595139026642,0.016904104501008987,0.0010756098199635744,0.9999999403953552,0.010218283161520958
36,0.49750587344169617,0.016652075573801994,0.00016098585911095142,0.9999999403953552,0.0081245182082057
