iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.9999999403953552,0.04612748697400093
1,0.7030062079429626,0.07809312641620636,0.07902802526950836,1.0,0.04622230678796768
2,0.7011330723762512,0.0778641328215599,0.07878781110048294,1.0,0.04631761461496353
3,0.6992724537849426,0.07763466238975525,0.07854708284139633,1.0,0.046416956931352615
4,0.6974244713783264,0.0774047002196312,0.07830580323934555,0.9999999403953552,0.04652129113674164
5,0.6955888867378235,0.07717424631118774,0.0780639722943306,1.0,0.046623483300209045
6,0.6937655806541443,0.0769432783126831,0.07782160490751266,1.0000001192092896,0.04673406854271889
7,0.691954493522644,0.07671177387237549,0.0775785893201828,1.0,0.04684526473283768
8,0.6901555061340332,0.0764797180891037,0.07733502238988876,1.0000001192092896,0.04695863649249077
9,0.6883683800697327,0.07624711841344833,0.0770908072590828,1.0,0.04707204923033714
10,0.6865932941436768,0.0760139599442482,0.07684598118066788,1.0,0.047190967947244644
11,0.6848299503326416,0.07578021287918091,0.07660049945116043,1.0,0.047313086688518524
12,0.6830785274505615,0.07554588466882706,0.07635436207056046,1.0,0.04743707552552223
13,0.6813387870788574,0.07531096041202545,0.07610754668712616,0.9999999403953552,0.047563645988702774
14,0.6796106100082397,0.07507540285587311,0.07586005330085754,1.0,0.047694746404886246
15,0.6778940558433533,0.07483921200037003,0.07561188191175461,1.0,0.0478246696293354
16,0.6761889457702637,0.0746024027466774,0.07536301761865616,0.9999998807907104,0.04795917868614197
17,0.6744951605796814,0.07436493784189224,0.075113445520401,1.0,0.04809490591287613
18,0.6728127002716064,0.07412680983543396,0.07486310601234436,0.9999999403953552,0.048237018287181854
19,0.671141505241394,0.07388799637556076,0.07461205869913101,0.9999999403953552,0.0483800433576107
20,0.6694815158843994,0.07364850491285324,0.07436021417379379,1.0,0.048521988093853
21,0.6678326725959778,0.07340832054615021,0.07410766184329987,0.9999999403953552,0.04866799712181091
22,0.6661947965621948,0.07316743582487106,0.07385426759719849,1.0,0.04881564527750015
23,0.6645680069923401,0.07292583584785461,0.07360007613897324,1.0000001192092896,0.04897068068385124
24,0.662952184677124,0.07268349826335907,0.0733451098203659,0.9999999403953552,0.04912220686674118
25,0.6613472104072571,0.07244043052196503,0.07308930903673172,1.0000001192092896,0.04928092285990715
26,0.6597533226013184,0.0721966028213501,0.07283270359039307,1.0,0.049441661685705185
27,0.6581702828407288,0.0719519853591919,0.07257523387670517,1.0,0.04960447922348976
28,0.6565981507301331,0.0717066153883934,0.07231689989566803,1.0000001192092896,0.049769289791584015
29,0.6550368666648865,0.07146044820547104,0.07205767929553986,1.0,0.049935221672058105
30,0.653486430644989,0.0712135061621666,0.07179758697748184,0.9999999403953552,0.05010050907731056
31,0.6519467234611511,0.07096575945615768,0.0715365782380104,0.9999998807907104,0.050272926688194275
32,0.6504179239273071,0.07071717828512192,0.07127469778060913,1.0,0.05044591799378395
33,0.6488999128341675,0.07046780735254288,0.07101187109947205,0.9999999403953552,0.050619881600141525
34,0.647392749786377,0.07021758705377579,0.07074812054634094,1.0,0.050799060612916946
35,0.6458963751792908,0.06996652483940125,0.07048343122005463,1.0,0.050980668514966965
36,0.6444108486175537,0.06971459090709686,0.0702177956700325,1.0,0.051165010780096054
37,0.642936110496521,0.06946180015802383,0.06995119154453278,1.0,0.051347337663173676
38,0.6414721608161926,0.06920815259218216,0.06968361139297485,0.9999999403953552,0.05152866616845131
39,0.6400191187858582,0.06895364820957184,0.06941503286361694,1.0,0.05171823501586914
40,0.638576865196228,0.0686982274055481,0.06914545595645905,1.0,0.051909107714891434
41,0.6371455192565918,0.06844191998243332,0.06887489557266235,1.0,0.052104998379945755
42,0.6357249617576599,0.06818469613790512,0.06860329210758209,1.0,0.05229878053069115
43,0.6343153715133667,0.0679265707731247,0.06833068281412125,1.0,0.05249425768852234
44,0.6329166293144226,0.06766751408576965,0.06805703788995743,0.9999999403953552,0.05269332975149155
45,0.6315288543701172,0.0674075335264206,0.06778234243392944,1.0,0.05289509892463684
46,0.6301520466804504,0.06714660674333572,0.06750661134719849,0.9999999403953552,0.05309809371829033
47,0.6287862062454224,0.06688475608825684,0.06722983717918396,1.0,0.053300127387046814
48,0.6274314522743225,0.06662195175886154,0.06695199012756348,1.0,0.05350396782159805
49,0.6260877847671509,0.06635820120573044,0.06667309999465942,1.0,0.05371169000864029
50,0.624755322933197,0.06609348952770233,0.06639313697814941,0.9999999403953552,0.05391768366098404
51,0.6234341263771057,0.06582783162593842,0.06611209362745285,0.9999998807907104,0.054127033799886703
52,0.6221240162849426,0.0655612200498581,0.06582994014024734,1.0,0.054338254034519196
53,0.6208253502845764,0.06529363244771957,0.06554671376943588,0.9999999403953552,0.054551366716623306
54,0.619537889957428,0.06502506136894226,0.06526236981153488,1.0,0.054764747619628906
55,0.6182621121406555,0.06475550681352615,0.06497694551944733,1.0,0.05497758090496063
56,0.6169975399971008,0.06448500603437424,0.06469041109085083,1.0,0.05519276484847069
57,0.6157445907592773,0.06421352922916412,0.06440279632806778,1.0,0.05540832132101059
58,0.6145032644271851,0.06394106894731522,0.064114049077034,1.0,0.055624283850193024
59,0.6132735013961792,0.0636676475405693,0.06382421404123306,1.0,0.05584374815225601
60,0.6120555400848389,0.063393235206604,0.06353326141834259,1.0,0.05606192350387573
61,0.6108493804931641,0.06311783939599991,0.06324119120836258,1.0,0.05628252774477005
62,0.6096551418304443,0.06284146755933762,0.06294802576303482,1.0,0.056501876562833786
63,0.6084727048873901,0.06256413459777832,0.06265375018119812,1.0,0.056721195578575134
64,0.6073024272918701,0.06228582561016083,0.06235832720994949,1.0000001192092896,0.05694269388914108
65,0.60614413022995,0.06200655177235603,0.06206178665161133,1.0,0.057165369391441345
66,0.6049981713294983,0.061726298183202744,0.06176413595676422,1.0,0.057385221123695374
67,0.6038644909858704,0.061445094645023346,0.06146535277366638,0.9999999403953552,0.05760684609413147
68,0.6027430891990662,0.06116292625665665,0.061165470629930496,1.0,0.057831667363643646
69,0.60163414478302,0.06087980791926384,0.060864485800266266,1.0,0.05805458128452301
70,0.600537896156311,0.060595735907554626,0.06056240200996399,1.0,0.058277055621147156
71,0.5994542241096497,0.060310713946819305,0.06025923788547516,1.0,0.058499112725257874
72,0.5983833074569702,0.06002477556467056,0.059954963624477386,1.0,0.05872034654021263
73,0.5973251461982727,0.0597379170358181,0.059649623930454254,0.9999998807907104,0.05893965810537338
74,0.5962799191474915,0.05945014953613281,0.05934317782521248,1.0,0.05916000157594681
75,0.5952476859092712,0.059161487966775894,0.05903566628694534,1.0,0.059379011392593384
76,0.5942285060882568,0.058871954679489136,0.058727048337459564,1.0,0.05959700793027878
77,0.5932226181030273,0.058581527322530746,0.05841740965843201,1.0,0.05981477349996567
78,0.5922297835350037,0.0582902655005455,0.058106712996959686,0.9999999403953552,0.06003362312912941
79,0.591250479221344,0.057998135685920715,0.05779498815536499,1.0,0.06024988368153572
80,0.5902847051620483,0.05770517885684967,0.0574822798371315,1.0,0.06046595051884651
81,0.5893324613571167,0.057411424815654755,0.05716857686638832,1.0,0.06067981198430061
82,0.5883939266204834,0.05711685121059418,0.05685391649603844,1.0000001192092896,0.06089608743786812
83,0.5874690413475037,0.05682150274515152,0.056538280099630356,1.0,0.06110987439751625
84,0.5865580439567566,0.056525394320487976,0.05622171238064766,1.0,0.06132129207253456
85,0.5856608748435974,0.056228555738925934,0.05590424686670303,1.0000001192092896,0.061530813574790955
86,0.5847777724266052,0.05593101307749748,0.055585797876119614,1.0,0.06173690780997276
87,0.58390873670578,0.05563277006149292,0.055266473442316055,0.9999999403953552,0.06194596365094185
88,0.5830538868904114,0.05533386394381523,0.05494629591703415,1.0,0.06215526536107063
89,0.5822131633758545,0.055034320801496506,0.05462527275085449,1.0,0.06235664710402489
90,0.5813866853713989,0.05473418906331062,0.05430346727371216,1.0,0.06255534291267395
91,0.5805745124816895,0.05443349853157997,0.05398089438676834,1.0,0.06275234371423721
92,0.5797768235206604,0.054132286459207535,0.05365755036473274,1.0,0.06295104324817657
93,0.5789936184883118,0.053830575197935104,0.05333355814218521,1.0,0.06314147263765335
94,0.5782248973846436,0.053528424352407455,0.05300891026854515,0.9999999403953552,0.06333477050065994
95,0.5774707198143005,0.05322587490081787,0.05268363282084465,1.0,0.06352156400680542
96,0.5767312049865723,0.05292296037077904,0.052357759326696396,1.0,0.06370373070240021
97,0.5760063529014587,0.05261973664164543,0.05203137546777725,1.0,0.0638832375407219
98,0.5752960443496704,0.052316270768642426,0.051704540848731995,1.0,0.06406357884407043
99,0.5746003985404968,0.052012600004673004,0.05137726292014122,1.0,0.06424024701118469
100,0.5739192962646484,0.051708802580833435,0.051049619913101196,0.9999999403953552,0.06441094726324081
101,0.57325279712677,0.051404912024736404,0.050721701234579086,1.0,0.06457899510860443
102,0.5726010203361511,0.05110102519392967,0.05039353296160698,1.0,0.06474317610263824
103,0.5719637870788574,0.05079718306660652,0.05006519705057144,1.0,0.06490457057952881
104,0.5713410377502441,0.05049348250031471,0.049736760556697845,1.0,0.06506162881851196
105,0.5707327127456665,0.050189994275569916,0.04940832778811455,0.9999999403953552,0.06521550565958023
106,0.5701387524604797,0.049886804074048996,0.04907995089888573,1.0,0.06536629796028137
107,0.5695590972900391,0.04958399385213852,0.048751771450042725,1.0,0.06550860404968262
108,0.5689935684204102,0.04928167536854744,0.04842384532094002,1.0,0.06564906239509583
109,0.5684421062469482,0.048979952931404114,0.04809623211622238,1.0,0.06578408181667328
110,0.5679044127464294,0.048678919672966,0.04776908457279205,1.0,0.06588788330554962
111,0.5673806071281433,0.04837869107723236,0.047442469745874405,1.0,0.06591693311929703
112,0.5668702721595764,0.04807938635349274,0.04711652919650078,1.0,0.06586811691522598
113,0.566373348236084,0.04778113588690758,0.046791378408670425,1.0,0.06574231386184692
114,0.5658894777297974,0.04748406633734703,0.0464671291410923,0.9999999403953552,0.0655406266450882
115,0.5654184818267822,0.047188326716423035,0.04614391550421715,1.0,0.06526625901460648
116,0.564960241317749,0.04689403623342514,0.04582187160849571,1.0,0.06492320448160172
117,0.56451416015625,0.04660135880112648,0.045501165091991425,0.9999999403953552,0.06450863182544708
118,0.5640801191329956,0.0463104322552681,0.04518190026283264,1.0,0.06403043121099472
119,0.5636577606201172,0.04602142795920372,0.04486425966024399,1.0,0.0634932890534401
120,0.5632467865943909,0.04573449119925499,0.04454842582345009,1.0000001192092896,0.06290127336978912
