iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.15972965955734253,0.04612748697400093
1,0.7045815587043762,0.07828623056411743,0.07923110574483871,0.15960143506526947,0.04614102095365524
2,0.7042716145515442,0.07825082540512085,0.07919453829526901,0.15947236120700836,0.046156659722328186
3,0.7039622068405151,0.07821544259786606,0.07915802299976349,0.159343421459198,0.04617210850119591
4,0.7036533355712891,0.07818006724119186,0.07912151515483856,0.1592150330543518,0.04618746042251587
5,0.7033451199531555,0.07814470678567886,0.07908502221107483,0.15908925235271454,0.04620199277997017
6,0.7030375003814697,0.07810937613248825,0.07904855161905289,0.15896062552928925,0.046217311173677444
7,0.7027303576469421,0.07807406038045883,0.07901208847761154,0.1588333398103714,0.04623221606016159
8,0.7024238109588623,0.07803875207901001,0.07897564023733139,0.15870729088783264,0.046248115599155426
9,0.7021178603172302,0.07800345867872238,0.07893920689821243,0.15858116745948792,0.04626239463686943
10,0.7018125057220459,0.07796819508075714,0.07890279591083527,0.1584557592868805,0.04627775028347969
11,0.7015076875686646,0.07793295383453369,0.0788663923740387,0.15833382308483124,0.0462924987077713
12,0.7012033462524414,0.07789771258831024,0.07883003354072571,0.15820910036563873,0.046307120472192764
13,0.700899600982666,0.07786250114440918,0.07879366725683212,0.15808092057704926,0.0463215634226799
14,0.7005965113639832,0.07782730460166931,0.07875731587409973,0.15795812010765076,0.046336643397808075
15,0.7002939581871033,0.07779212296009064,0.07872097194194794,0.15783555805683136,0.046351902186870575
16,0.6999918222427368,0.07775694876909256,0.07868466526269913,0.15771479904651642,0.046368587762117386
17,0.6996902823448181,0.07772179692983627,0.07864837348461151,0.15759095549583435,0.04638424515724182
18,0.6993893384933472,0.07768666744232178,0.0786120817065239,0.15746615827083588,0.04640024155378342
19,0.699088990688324,0.07765154540538788,0.07857583463191986,0.15734268724918365,0.046416010707616806
20,0.6987891793251038,0.07761644572019577,0.07853958755731583,0.15722118318080902,0.04643112048506737
21,0.6984897255897522,0.07758135348558426,0.07850334048271179,0.15709808468818665,0.046445850282907486
