iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.04612748697400093,0.04612748697400093
1,0.704807460308075,0.0783110111951828,0.07925675809383392,0.046131595969200134,0.046131595969200134
2,0.7047228217124939,0.07830037921667099,0.07924582809209824,0.04613536596298218,0.04613536596298218
3,0.7046381235122681,0.07828973233699799,0.07923489063978195,0.046139948070049286,0.046139948070049286
4,0.7045536041259766,0.07827909290790558,0.07922396063804626,0.046143870800733566,0.046143870800733566
5,0.7044689059257507,0.07826843857765198,0.07921303808689117,0.0461486279964447,0.0461486279964447
6,0.7043843865394592,0.07825779914855957,0.07920210063457489,0.046153102070093155,0.046153102070093155
7,0.704299807548523,0.07824714481830597,0.0791911706328392,0.04615778103470802,0.04615778103470802
8,0.7042152881622314,0.07823649793863297,0.07918021827936172,0.04616289958357811,0.04616289958357811
9,0.7041307091712952,0.07822583615779877,0.07916928827762604,0.0461672879755497,0.0461672879755497
10,0.7040461897850037,0.07821517437696457,0.07915832102298737,0.046171996742486954,0.046171996742486954
11,0.7039617300033569,0.07820452004671097,0.07914739847183228,0.04617675021290779,0.04617675021290779
12,0.7038772106170654,0.07819385826587677,0.0791364386677742,0.04618137329816818,0.04618137329816818
13,0.7037927508354187,0.07818318903446198,0.07912550121545792,0.04618610441684723,0.04618610441684723
14,0.703708291053772,0.07817251980304718,0.07911456376314163,0.04619117081165314,0.04619117081165314
15,0.7036239504814148,0.07816185802221298,0.07910358905792236,0.04619491472840309,0.04619491472840309
16,0.7035395503044128,0.07815118134021759,0.07909262180328369,0.04619944095611572,0.04619944095611572
17,0.7034550905227661,0.0781405121088028,0.07908168435096741,0.046203698962926865,0.046203698962926865
18,0.7033708095550537,0.0781298354268074,0.07907068729400635,0.046208254992961884,0.046208254992961884
19,0.7032864093780518,0.07811915874481201,0.07905974239110947,0.04621285945177078,0.04621285945177078
20,0.7032021284103394,0.07810848206281662,0.07904879003763199,0.046216998249292374,0.046216998249292374
21,0.703117847442627,0.07809780538082123,0.07903783768415451,0.04622214287519455,0.04622214287519455
22,0.7030335068702698,0.07808712869882584,0.07902685552835464,0.046226877719163895,0.046226877719163895
23,0.7029491662979126,0.07807643711566925,0.07901587337255478,0.04623129591345787,0.04623129591345787
24,0.702864944934845,0.07806574553251266,0.07900489866733551,0.046235617250204086,0.046235617250204086
25,0.7027807831764221,0.07805506139993668,0.07899394631385803,0.04623979330062866,0.04623979330062866
26,0.7026965618133545,0.07804436981678009,0.07898293435573578,0.04624412581324577,0.04624412581324577
27,0.7026123404502869,0.0780336782336235,0.0789719671010971,0.04624909162521362,0.04624909162521362
28,0.7025281190872192,0.07802297919988632,0.07896098494529724,0.04625323787331581,0.04625323787331581
29,0.7024440169334412,0.07801228761672974,0.07895000278949738,0.046257827430963516,0.046257827430963516
30,0.7023599147796631,0.07800158113241196,0.0789390355348587,0.04626207426190376,0.04626207426190376
31,0.7022757530212402,0.07799087464809418,0.07892803847789764,0.04626666009426117,0.04626666009426117
32,0.7021916508674622,0.07798018306493759,0.07891704142093658,0.04627075791358948,0.04627075791358948
33,0.7021075487136841,0.07796946913003922,0.07890603691339493,0.046275459229946136,0.046275459229946136
34,0.7020235657691956,0.07795875519514084,0.07889503985643387,0.046280138194561005,0.046280138194561005
35,0.7019394636154175,0.07794805616140366,0.07888402789831161,0.04628479853272438,0.04628479853272438
36,0.7018554210662842,0.07793733477592468,0.07887304574251175,0.04628971964120865,0.04628971964120865
37,0.7017713785171509,0.0779266208410263,0.07886204868555069,0.046294767409563065,0.046294767409563065
38,0.7016873955726624,0.07791590690612793,0.07885105162858963,0.04629945382475853,0.04629945382475853
39,0.7016034722328186,0.07790519297122955,0.07884002476930618,0.04630414396524429,0.04630414396524429
40,0.7015194892883301,0.07789447158575058,0.07882902771234512,0.04630820080637932,0.04630820080637932
41,0.7014355659484863,0.0778837502002716,0.07881801575422287,0.04631207510828972,0.04631207510828972
42,0.7013516426086426,0.07787302136421204,0.07880699634552002,0.04631698876619339,0.04631698876619339
43,0.7012677788734436,0.07786229252815247,0.07879598438739777,0.04632197320461273,0.04632197320461273
44,0.7011839151382446,0.07785157114267349,0.07878495752811432,0.04632695019245148,0.04632695019245148
45,0.7011000514030457,0.07784083485603333,0.07877394556999207,0.04633089154958725,0.04633089154958725
46,0.7010161280632019,0.07783009856939316,0.07876291871070862,0.04633533954620361,0.04633533954620361
47,0.7009323239326477,0.07781936973333359,0.07875190675258636,0.04633968323469162,0.04633968323469162
48,0.7008485198020935,0.07780862599611282,0.07874085009098053,0.046344511210918427,0.046344511210918427
49,0.7007647156715393,0.07779789716005325,0.07872985303401947,0.04634935036301613,0.04634935036301613
50,0.7006809711456299,0.07778714597225189,0.07871881127357483,0.04635388031601906,0.04635388031601906
51,0.7005972266197205,0.07777640968561172,0.0787077471613884,0.04635898768901825,0.04635898768901825
52,0.700513482093811,0.07776565849781036,0.07869672030210495,0.04636365547776222,0.04636365547776222
53,0.7004297971725464,0.077754907310009,0.0786856934428215,0.046368684619665146,0.046368684619665146
54,0.700346052646637,0.07774416357278824,0.07867465168237686,0.04637361317873001,0.04637361317873001
55,0.7002624273300171,0.07773340493440628,0.07866360992193222,0.0463782362639904,0.0463782362639904
56,0.7001786828041077,0.07772263884544373,0.07865256071090698,0.04638328403234482,0.04638328403234482
57,0.7000951170921326,0.07771190255880356,0.07864148914813995,0.046387799084186554,0.046387799084186554
58,0.7000114917755127,0.077701136469841,0.0786304622888565,0.04639206826686859,0.04639206826686859
59,0.6999278664588928,0.07769036293029785,0.07861941307783127,0.04639691859483719,0.04639691859483719
60,0.699844241142273,0.07767961174249649,0.07860834151506424,0.0464017391204834,0.0464017391204834
61,0.6997606754302979,0.07766883820295334,0.0785972997546196,0.04640689119696617,0.04640689119696617
62,0.6996771693229675,0.07765806466341019,0.07858623564243317,0.04641189053654671,0.04641189053654671
63,0.6995936632156372,0.07764729857444763,0.07857517898082733,0.046416934579610825,0.046416934579610825
64,0.6995100975036621,0.07763652503490448,0.07856409251689911,0.04642185568809509,0.04642185568809509
65,0.6994265913963318,0.07762575149536133,0.07855304330587387,0.04642649367451668,0.04642649367451668
66,0.6993430852890015,0.07761497795581818,0.07854197174310684,0.04643147066235542,0.04643147066235542
67,0.6992596983909607,0.07760418951511383,0.07853090018033981,0.04643597826361656,0.04643597826361656
68,0.6991761922836304,0.07759341597557068,0.07851983606815338,0.04644058644771576,0.04644058644771576
