iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.0660395398736,0.04612748697400093
1,0.704767107963562,0.07830658555030823,0.07925185561180115,0.06604544073343277,0.046133264899253845
2,0.7046422362327576,0.07829150557518005,0.07923606038093567,0.06605146080255508,0.04613922908902168
3,0.7045174241065979,0.07827641814947128,0.07922020554542542,0.06605800241231918,0.046144671738147736
4,0.7043926119804382,0.07826132327318192,0.07920441031455994,0.06606417894363403,0.04615126550197601
5,0.7042677998542786,0.07824623584747314,0.07918857038021088,0.06607159972190857,0.04615803435444832
6,0.7041430473327637,0.07823113352060318,0.0791727602481842,0.06607858091592789,0.046164851635694504
7,0.7040184140205383,0.07821604609489441,0.07915692031383514,0.06608574837446213,0.046171750873327255
8,0.703893780708313,0.07820094376802444,0.07914108037948608,0.06609264761209488,0.04617779329419136
9,0.7037691473960876,0.07818582653999329,0.07912523299455643,0.06610005348920822,0.046184834092855453
10,0.7036445736885071,0.07817071676254272,0.07910939306020737,0.06610620766878128,0.04619096964597702
11,0.7035201191902161,0.07815560698509216,0.0790935531258583,0.06611280143260956,0.04619721695780754
12,0.703395664691925,0.0781404972076416,0.07907769829034805,0.06611999869346619,0.04620286077260971
13,0.7032711505889893,0.07812537252902985,0.0790618285536766,0.06612669676542282,0.04620916023850441
14,0.7031468152999878,0.07811024785041809,0.07904595136642456,0.06613457202911377,0.046215470880270004
15,0.7030224204063416,0.07809511572122574,0.0790300965309143,0.0661410391330719,0.04622228071093559
16,0.7028981447219849,0.07807998359203339,0.07901422679424286,0.06614776700735092,0.046229127794504166
17,0.702773928642273,0.07806484401226044,0.07899836450815201,0.066154845058918,0.04623568803071976
18,0.702649712562561,0.07804971188306808,0.07898247987031937,0.06616222113370895,0.04624192416667938
19,0.7025254964828491,0.07803456485271454,0.07896661013364792,0.06617024540901184,0.04624856635928154
20,0.7024012804031372,0.07801942527294159,0.07895071804523468,0.06617730855941772,0.046254560351371765
21,0.7022772431373596,0.07800427079200745,0.07893483340740204,0.06618379801511765,0.0462602935731411
22,0.702153205871582,0.0779891237616539,0.0789189338684082,0.06619112193584442,0.046266596764326096
23,0.7020292282104492,0.07797396928071976,0.07890302687883377,0.06619809567928314,0.04627249017357826
24,0.7019053101539612,0.07795879989862442,0.07888711988925934,0.06620611995458603,0.046279314905405045
25,0.7017812728881836,0.07794363051652908,0.0788712203502655,0.06621282547712326,0.046285659074783325
26,0.7016574740409851,0.07792846858501434,0.07885531336069107,0.06622043251991272,0.04629231244325638
27,0.7015336155891418,0.077913299202919,0.07883939892053604,0.06622664630413055,0.046299003064632416
28,0.7014098167419434,0.07789811491966248,0.07882349193096161,0.06623423099517822,0.04630542919039726
29,0.7012860178947449,0.07788293808698654,0.07880754768848419,0.06624098122119904,0.04631177335977554
30,0.7011623382568359,0.07786776125431061,0.07879162579774857,0.06624779105186462,0.046317897737026215
31,0.701038658618927,0.07785256952047348,0.07877570390701294,0.06625453382730484,0.04632367938756943
32,0.7009150385856628,0.07783737778663635,0.07875977456569672,0.06626155972480774,0.046330638229846954
33,0.7007914185523987,0.07782218605279922,0.0787438228726387,0.06626924127340317,0.046337418258190155
34,0.7006679177284241,0.0778069943189621,0.07872790098190308,0.06627649813890457,0.04634363204240799
35,0.7005443572998047,0.07779178023338318,0.07871194183826447,0.0662841871380806,0.046350281685590744
36,0.7004209160804749,0.07777658849954605,0.07869599014520645,0.06629212945699692,0.04635714739561081
37,0.7002975344657898,0.07776137441396713,0.07868002355098724,0.06629927456378937,0.046363942325115204
38,0.7001742124557495,0.07774616032838821,0.07866407185792923,0.06630651652812958,0.04637133702635765
39,0.7000507712364197,0.0777309387922287,0.07864810526371002,0.06631306558847427,0.046377915889024734
40,0.6999275088310242,0.07771571725606918,0.07863215357065201,0.06631968915462494,0.04638408496975899
41,0.6998042464256287,0.07770048826932907,0.07861616462469101,0.06632735580205917,0.04639005288481712
42,0.6996809840202332,0.07768526673316956,0.07860018312931061,0.06633477658033371,0.046397529542446136
43,0.699557900428772,0.07767003774642944,0.0785842165350914,0.06634300202131271,0.04640412703156471
44,0.699434757232666,0.07765480130910873,0.0785682201385498,0.06634970009326935,0.046410538256168365
45,0.6993116736412048,0.07763955742120743,0.0785522386431694,0.06635729223489761,0.04641738533973694
46,0.6991885900497437,0.07762430608272552,0.07853624224662781,0.066365085542202,0.046424515545368195
47,0.6990656852722168,0.07760906964540482,0.07852024585008621,0.06637285649776459,0.0464315339922905
48,0.6989426612854004,0.07759381830692291,0.07850423455238342,0.06638102233409882,0.04643843322992325
49,0.6988197565078735,0.07757855951786041,0.07848824560642242,0.06638756394386292,0.046444740146398544
50,0.6986968517303467,0.07756330817937851,0.07847221940755844,0.06639494746923447,0.046451352536678314
51,0.6985740065574646,0.07754802703857422,0.07845620810985565,0.06640180945396423,0.046458665281534195
52,0.6984511613845825,0.07753276824951172,0.07844018191099167,0.0664096251130104,0.04646604135632515
53,0.69832843542099,0.07751750200986862,0.07842418551445007,0.0664181262254715,0.04647338017821312
54,0.6982057690620422,0.07750222831964493,0.0784081295132637,0.0664253979921341,0.04647994786500931
55,0.6980830430984497,0.07748693972826004,0.07839211076498032,0.06643317639827728,0.046486858278512955
56,0.6979604363441467,0.07747165858745575,0.07837608456611633,0.06644051522016525,0.046493738889694214
57,0.6978378295898438,0.07745636254549026,0.07836004346609116,0.06644787639379501,0.04650028049945831
58,0.6977152228355408,0.07744108140468597,0.07834400236606598,0.06645504385232925,0.046507518738508224
59,0.6975927352905273,0.07742578536272049,0.07832792401313782,0.066462442278862,0.046514324843883514
60,0.6974702477455139,0.07741048187017441,0.07831189781427383,0.06647080183029175,0.046522099524736404
61,0.6973478198051453,0.07739517837762833,0.07829584926366806,0.06647858023643494,0.04652925208210945
62,0.6972254514694214,0.07737986743450165,0.0782797783613205,0.06648600101470947,0.04653569310903549
63,0.6971030235290527,0.07736456394195557,0.07826372236013412,0.06649260967969894,0.04654271900653839
64,0.6969807744026184,0.07734924554824829,0.07824762910604477,0.06650050729513168,0.046549856662750244
65,0.6968585252761841,0.07733392715454102,0.0782315582036972,0.06650819629430771,0.04655641317367554
66,0.6967362761497498,0.07731860131025314,0.07821549475193024,0.06651613861322403,0.04656302556395531
67,0.696614146232605,0.07730328291654587,0.07819940149784088,0.06652294099330902,0.04656936600804329
