iteration,x_1,x_2,x_3,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,2.388335704803467,3.049686908721924,2.255012035369873,1.501786470413208,0.051696181297302246,1.604301929473877,1.6041868925094604,0.0,1.0000001192092896,0.42926204,0.45225126,False,False
1,2.3893234729766846,3.050947666168213,2.2551050186157227,1.4991401433944702,0.049194157123565674,1.6025060415267944,1.602401614189148,0.0,1.0000001192092896,0.43026164,0.45223954,False,False
2,2.390315055847168,3.0522031784057617,2.2551958560943604,1.4965028762817383,0.04669487476348877,1.6007658243179321,1.600671410560608,0.0,1.0000001192092896,0.43125007,0.45221055,False,False
3,2.391310453414917,3.0534536838531494,2.2552847862243652,1.4938747882843018,0.04419809579849243,1.5990817546844482,1.598996639251709,0.0,1.0,0.4322269,0.45216408,False,False
4,2.3923099040985107,3.054698944091797,2.2553718090057373,1.4912559986114502,0.0417027473449707,1.5974550247192383,1.5973790884017944,0.0,0.9999999403953552,0.43319172,0.45209986,False,False
5,2.39331316947937,3.055939197540283,2.2554566860198975,1.4886445999145508,0.039209961891174316,1.5958833694458008,1.595815658569336,0.0,1.0,0.43414477,0.45201874,False,False
6,2.394320249557495,3.0571744441986084,2.255539655685425,1.4860422611236572,0.036718904972076416,1.5943682193756104,1.594308614730835,0.0,1.0,0.43508548,0.45192018,False,False
7,2.3953311443328857,3.0584046840667725,2.2556204795837402,1.4834470748901367,0.03423029184341431,1.592908501625061,1.5928564071655273,0.0,1.0,0.43601382,0.4518047,False,False
8,2.396346092224121,3.0596299171447754,2.2556991577148438,1.4808608293533325,0.0317423939704895,1.5915071964263916,1.5914621353149414,0.0,1.0000001192092896,0.4369288,0.4516713,False,False
9,2.397364854812622,3.060850143432617,2.2557756900787354,1.4782814979553223,0.029256701469421387,1.5901620388031006,1.5901230573654175,0.0,1.0000001192092896,0.4378308,0.45152107,False,False
10,2.3983874320983887,3.062065601348877,2.255850076675415,1.475709080696106,0.026772677898406982,1.5888723134994507,1.5888396501541138,0.0,0.9999997615814209,0.43871975,0.451354,False,False
11,2.3994140625,3.0632760524749756,2.255922317504883,1.4731450080871582,0.02428901195526123,1.5876421928405762,1.58761465549469,0.0,0.9999998807907104,0.43959442,0.4511691,False,False
12,2.400444746017456,3.064481735229492,2.2559924125671387,1.4705870151519775,0.02180635929107666,1.5864677429199219,1.5864449739456177,1.7881393432617188e-07,1.0,0.44045553,0.4509673,False,False
13,2.4014792442321777,3.0656824111938477,2.2560603618621826,1.4680366516113281,0.01932460069656372,1.585351824760437,1.5853334665298462,0.0,1.0,0.4413021,0.45074832,False,False
14,2.402517795562744,3.066878318786621,2.2561261653900146,1.4654924869537354,0.016843080520629883,1.5842921733856201,1.5842777490615845,0.0,0.9999999403953552,0.44213462,0.45051232,False,False
15,2.4035604000091553,3.0680694580078125,2.2561898231506348,1.4629549980163574,0.014361858367919922,1.5832905769348145,1.5832797288894653,0.0,1.0,0.44295233,0.45025927,False,False
16,2.404607057571411,3.069255828857422,2.256251096725464,1.4604238271713257,0.011880636215209961,1.5823478698730469,1.582339882850647,0.0,1.0,0.44375488,0.44998905,False,False
17,2.4056577682495117,3.070437431335449,2.256310224533081,1.4578993320465088,0.009398937225341797,1.5814634561538696,1.5814582109451294,0.0,1.0000001192092896,0.44454196,0.44970158,False,False
18,2.406712532043457,3.0716142654418945,2.2563669681549072,1.4553793668746948,0.006918191909790039,1.5806361436843872,1.5806328058242798,0.0,1.0000001192092896,0.44531384,0.44939777,False,False
19,2.407771587371826,3.072786569595337,2.2564215660095215,1.4528653621673584,0.004436016082763672,1.5798672437667847,1.5798654556274414,1.3328003944934608e-07,1.0000001192092896,0.4460702,0.44907692,False,False
20,2.40883469581604,3.0739541053771973,2.2564737796783447,1.4503569602966309,0.0019535422325134277,1.5791575908660889,1.5791566371917725,0.0,1.0000001192092896,0.44681022,0.4487391,False,False
21,2.4099018573760986,3.0751168727874756,2.256523847579956,1.4478548765182495,-0.0005301237106323242,1.5785069465637207,1.5785068273544312,0.0,1.0000001192092896,0.44753397,0.44838452,False,False
22,2.410973310470581,3.076275110244751,2.2565715312957764,1.4453566074371338,-0.003014981746673584,1.5779144763946533,1.5779147148132324,0.0,1.0000001192092896,0.4482415,0.44801328,False,False
23,2.4120490550994873,3.0774285793304443,2.2566168308258057,1.4428646564483643,-0.005501210689544678,1.577383279800415,1.5773829221725464,0.0,1.0000001192092896,0.4489317,0.447625,False,False
24,2.4131288528442383,3.0785775184631348,2.256659746170044,1.440375804901123,-0.007987618446350098,1.576909065246582,1.576907992362976,0.0,1.0000001192092896,0.44960544,0.4472209,False,False
25,2.414212942123413,3.0797219276428223,2.256700277328491,1.4378916025161743,-0.010476291179656982,1.5764946937561035,1.576492428779602,0.0,0.9999998807907104,0.45026195,0.4468001,False,False
26,2.4153013229370117,3.080861806869507,2.2567384243011475,1.4354116916656494,-0.012966275215148926,1.576139211654663,1.5761351585388184,0.0,1.0000001192092896,0.45090124,0.44636306,False,False
27,2.416393995285034,3.0819971561431885,2.2567741870880127,1.4329355955123901,-0.015458166599273682,1.5758436918258667,1.57583749294281,0.0,1.0,0.4515228,0.44590977,False,False
28,2.4174909591674805,3.083127975463867,2.256807565689087,1.4304635524749756,-0.01795220375061035,1.5756083726882935,1.575599193572998,0.0,1.0,0.45212656,0.44544023,False,False
29,2.4185924530029297,3.084254264831543,2.25683856010437,1.427994966506958,-0.020449280738830566,1.5754320621490479,1.5754201412200928,0.0,1.0,0.4527125,0.4449545,False,False
30,2.4196982383728027,3.085376024246216,2.2568671703338623,1.4255305528640747,-0.022948920726776123,1.5753178596496582,1.5753026008605957,0.0,1.0,0.45327967,0.44445255,False,False
31,2.4208083152770996,3.0864932537078857,2.2568931579589844,1.4230690002441406,-0.02545011043548584,1.5752631425857544,1.5752439498901367,0.0,1.0000001192092896,0.4538283,0.443935,False,False
32,2.4219229221343994,3.087606191635132,2.2569167613983154,1.4206106662750244,-0.02795511484146118,1.575269103050232,1.5752456188201904,0.0,1.0000001192092896,0.45435846,0.44340146,False,False
33,2.423042058944702,3.088714599609375,2.2569379806518555,1.4181543588638306,-0.030463039875030518,1.5753345489501953,1.5753062963485718,0.0,1.0,0.45487016,0.44285253,False,False
34,2.424165725708008,3.0898187160491943,2.2569565773010254,1.4157006740570068,-0.03297382593154907,1.575461745262146,1.5754281282424927,0.0,0.9999997615814209,0.45536238,0.4422879,False,False
35,2.4252939224243164,3.0909183025360107,2.2569727897644043,1.41325044631958,-0.03548884391784668,1.575650691986084,1.5756113529205322,0.0,1.0000001192092896,0.45583513,0.44170746,False,False
36,2.426426649093628,3.0920135974884033,2.256986379623413,1.4108014106750488,-0.03800690174102783,1.5759001970291138,1.5758545398712158,0.0,0.9999998807907104,0.45628864,0.441112,False,False
37,2.4275639057159424,3.093104600906372,2.256997585296631,1.4083545207977295,-0.04052913188934326,1.5762100219726562,1.5761579275131226,0.0,1.0000001192092896,0.45672274,0.44050133,False,False
38,2.4287056922912598,3.094191074371338,2.2570061683654785,1.405909776687622,-0.043055176734924316,1.5765817165374756,1.5765228271484375,0.0,1.0000001192092896,0.45713693,0.4398757,False,False
39,2.429852247238159,3.09527325630188,2.257012367248535,1.4034664630889893,-0.04558539390563965,1.5770143270492554,1.5769479274749756,0.0,1.0000001192092896,0.4575314,0.43923518,False,False
40,2.4310033321380615,3.096351146697998,2.2570159435272217,1.4010238647460938,-0.048119544982910156,1.5775083303451538,1.5774341821670532,0.0,1.0,0.4579057,0.43858,False,False
