iteration,x_1,x_2,x_3,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,4.146807670593262,4.245011806488037,2.6485912799835205,2.0339794158935547,1.1635713577270508,2.961727787388545,2.225215435028076,3.6052280677559177e-07,1.0000000315250621,0.6632396773354751,0.6676847059048518,False,False
1,4.145875453948975,4.244975566864014,2.651402235031128,2.027263641357422,1.1570820808410645,2.961583571457542,2.232663869857788,3.192358454737018e-07,1.0000000115183898,0.6599391075032477,0.666408180314843,False,False
2,4.144942283630371,4.244943618774414,2.654212713241577,2.0204830169677734,1.150613784790039,2.961324699173495,2.239856243133545,4.754331115911602e-07,0.9999998933416566,0.6567095545211586,0.6651611320261145,False,False
3,4.144008159637451,4.244915962219238,2.657022714614868,2.013636589050293,1.144167184829712,2.9609579548541562,2.246791362762451,4.5693023059875975e-07,1.0000000339716342,0.6535503050941834,0.6639441114675274,False,False
4,4.143073558807373,4.244892120361328,2.659832239151001,2.0067265033721924,1.1377434730529785,2.9604901755760036,2.2534635066986084,6.184552215057809e-07,1.0000000575411483,0.6504622033927786,0.6627585524387168,False,False
5,4.14213752746582,4.244872570037842,2.6626408100128174,1.999751091003418,1.1313446760177612,2.9599279406816246,2.259873867034912,4.2272848114822994e-07,1.0000000012142456,0.6474440846678173,0.6616043973045633,False,False
6,4.141200542449951,4.244857311248779,2.6654484272003174,1.992713451385498,1.1249699592590332,2.9592773595114648,2.266018867492676,4.4309246483046977e-07,0.9999999120920902,0.6444963779040782,0.6604826383291111,False,False
7,4.140262126922607,4.244845867156982,2.668255090713501,1.9856088161468506,1.1186230182647705,2.9585447975346786,2.271897315979004,4.6225528707756933e-07,1.0000000560657498,0.6416176677594556,0.6593939323437747,False,False
8,4.139322757720947,4.244838714599609,2.671060562133789,1.9784438610076904,1.1123030185699463,2.957736598440381,2.27750563621521,6.452455015039848e-07,1.0000000194583416,0.6388091186629894,0.6583393165571603,False,False
9,4.138381481170654,4.244835376739502,2.6738646030426025,1.9712131023406982,1.1060125827789307,2.956858321813579,2.282844305038452,4.85342977446552e-07,0.9999999566506416,0.6360687701926112,0.6573189668865941,False,False
10,4.137438774108887,4.24483585357666,2.6766672134399414,1.963919997215271,1.0997505187988281,2.955916154521262,2.2879116535186768,7.291377623576502e-07,0.9999999964231135,0.6333968957350607,0.6563340014301873,False,False
11,4.1364946365356445,4.244840145111084,2.6794681549072266,1.9565632343292236,1.0935206413269043,2.9549154132923157,2.2927050590515137,6.45175930383709e-07,0.9999999138967084,0.6307927772652431,0.6553850877888896,False,False
