iteration,x_1,x_2,x_3,x_4,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,-0.4077761173248291,0.033124566078186035,-0.4966585636138916,0.37711358070373535,0.8713242411613464,0.6542593836784363,0.2872629165649414,0.2797457277774811,0.0,1.0000001192092896,3.2449937,1.6780697,False,False
1,-0.4076438546180725,0.03307810798287392,-0.4964902997016907,0.3769277036190033,0.8712615966796875,0.6541383862495422,0.28727492690086365,0.2797670066356659,0.0,1.0000001192092896,3.244656,1.6782016,False,False
2,-0.4075115919113159,0.0330316424369812,-0.49632200598716736,0.37674179673194885,0.8711990118026733,0.6540172696113586,0.2872868478298187,0.27978816628456116,1.3328003944934608e-07,1.0000001192092896,3.2443197,1.6783335,False,False
3,-0.4073793292045593,0.03298516944050789,-0.49615371227264404,0.3765558898448944,0.8711364269256592,0.6538962721824646,0.28729864954948425,0.27980923652648926,8.940696716308594e-08,1.0000001192092896,3.2439847,1.6784663,False,False
4,-0.40724706649780273,0.03293868899345398,-0.4959854185581207,0.3763699531555176,0.8710737228393555,0.6537752151489258,0.2873104214668274,0.27983027696609497,1.3328003944934608e-07,1.0000001192092896,3.2436495,1.6785998,False,False
5,-0.40711480379104614,0.03289220109581947,-0.4958171248435974,0.37618401646614075,0.8710111379623413,0.6536542177200317,0.2873220443725586,0.27985113859176636,0.0,0.9999999403953552,3.2433164,1.6787337,False,False
6,-0.40698254108428955,0.03284570947289467,-0.4956488311290741,0.37599804997444153,0.8709484934806824,0.6535332202911377,0.2873334586620331,0.2798718214035034,0.0,1.0000001192092896,3.2429857,1.6788682,False,False
7,-0.40685027837753296,0.03279921039938927,-0.4954805374145508,0.3758120834827423,0.8708858489990234,0.6534121632575989,0.2873449921607971,0.2798925042152405,1.4600097131278744e-07,1.0,3.2426546,1.6790031,False,False
8,-0.40671801567077637,0.03275270387530327,-0.49531224370002747,0.3756261169910431,0.8708231449127197,0.6532912254333496,0.28735631704330444,0.279913067817688,1.4901161193847656e-07,1.000000238418579,3.2423248,1.6791387,False,False
9,-0.4065857529640198,0.03270618990063667,-0.49514394998550415,0.3754401206970215,0.8707605004310608,0.6531702280044556,0.2873675227165222,0.27993351221084595,1.4901161193847656e-07,1.0000001192092896,3.2419968,1.6792749,False,False
10,-0.4064534902572632,0.03265967220067978,-0.49497565627098083,0.3752541244029999,0.8706978559494019,0.6530492305755615,0.28737860918045044,0.27995383739471436,5.960464477539063e-08,1.0000001192092896,3.2416701,1.6794114,False,False
11,-0.4063212275505066,0.03261314705014229,-0.4948073625564575,0.3750680983066559,0.8706351518630981,0.6529282331466675,0.2873896658420563,0.279974102973938,0.0,1.0000001192092896,3.2413435,1.6795487,False,False
12,-0.40618896484375,0.0325666144490242,-0.4946390688419342,0.3748820722103119,0.8705724477767944,0.6528072357177734,0.28740060329437256,0.27999424934387207,0.0,1.0000001192092896,3.2410188,1.6796863,False,False
13,-0.4060567021369934,0.032520074397325516,-0.4944707453250885,0.3746960461139679,0.8705097436904907,0.6526862382888794,0.2874114513397217,0.2800142765045166,0.0,1.0000001192092896,3.2406948,1.6798247,False,False
14,-0.4059244394302368,0.03247353062033653,-0.4943024218082428,0.3745099902153015,0.8704469799995422,0.6525652408599854,0.28742218017578125,0.28003421425819397,1.4600097131278744e-07,1.0,3.2403724,1.6799635,False,False
15,-0.4057921767234802,0.03242697939276695,-0.4941340982913971,0.37432393431663513,0.8703842163085938,0.6524443626403809,0.28743284940719604,0.2800540626049042,8.940696716308594e-08,1.0000001192092896,3.2400498,1.680103,False,False
16,-0.40565991401672363,0.032380420714616776,-0.4939657747745514,0.37413784861564636,0.87032151222229,0.652323305606842,0.2874433696269989,0.28007376194000244,0.0,1.0000001192092896,3.2397304,1.6802427,False,False
17,-0.40552765130996704,0.032333854585886,-0.4937974512577057,0.3739517629146576,0.8702588081359863,0.6522023677825928,0.2874538004398346,0.28009337186813354,0.0,1.0,3.239411,1.6803836,False,False
18,-0.40539538860321045,0.03228728473186493,-0.49362912774086,0.37376564741134644,0.8701960444450378,0.6520814299583435,0.28746411204338074,0.2801128923892975,1.3328003944934608e-07,1.0000001192092896,3.239093,1.6805243,False,False
19,-0.40526312589645386,0.03224070742726326,-0.4934608042240143,0.3735795319080353,0.8701332807540894,0.6519604921340942,0.2874743640422821,0.28013232350349426,0.0,1.0000001192092896,3.2387762,1.6806662,False,False
