iteration,x_1,x_2,x_3,x_4,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,-0.04498291015625,-0.6403137445449829,-0.5144861936569214,-0.566718578338623,0.976818323135376,0.20656979084014893,0.08931256830692291,0.08931256830692291,0.0,1.0,0.9860474,0.013952583,False,False
1,-0.04496806859970093,-0.6402584910392761,-0.5144395232200623,-0.5666683316230774,0.9768103361129761,0.20656180381774902,0.08933679759502411,0.08933679759502411,0.0,1.0,0.9860175,0.013982475,False,False
2,-0.04495324194431305,-0.6402032375335693,-0.5143927931785583,-0.5666180849075317,0.9768023490905762,0.2065538763999939,0.08936105668544769,0.08936105668544769,0.0,1.0,0.9859876,0.014012396,False,False
3,-0.044938430190086365,-0.6401479840278625,-0.5143460631370544,-0.5665678381919861,0.9767943620681763,0.206545889377594,0.08938532322645187,0.08938532322645187,0.0,1.0,0.9859576,0.014042348,False,False
4,-0.044923633337020874,-0.640092670917511,-0.5142993330955505,-0.5665175318717957,0.9767863750457764,0.2065379023551941,0.08940962702035904,0.08940962702035904,0.0,0.9999998807907104,0.9859277,0.014072329,False,False
5,-0.04490885138511658,-0.6400373578071594,-0.5142526030540466,-0.5664672255516052,0.9767783880233765,0.2065299153327942,0.08943389356136322,0.08943389356136322,0.0,1.0,0.98589766,0.014102313,False,False
6,-0.044894084334373474,-0.6399820446968079,-0.514205813407898,-0.5664169192314148,0.9767704010009766,0.2065219283103943,0.089458167552948,0.089458167552948,0.0,1.0,0.9858677,0.014132334,False,False
7,-0.044879332184791565,-0.6399266719818115,-0.5141590237617493,-0.5663666129112244,0.9767623543739319,0.20651394128799438,0.08948246389627457,0.08948246389627457,0.0,1.0000001192092896,0.9858377,0.0141623095,False,False
8,-0.04486459493637085,-0.6398712992668152,-0.5141122341156006,-0.5663162469863892,0.976754367351532,0.20650595426559448,0.08950675278902054,0.08950675278902054,0.0,1.0000001192092896,0.98580766,0.014192381,False,False
9,-0.04484987258911133,-0.6398159265518188,-0.5140654444694519,-0.566265881061554,0.9767463803291321,0.2064979076385498,0.0895310789346695,0.0895310789346695,0.0,0.9999998807907104,0.9857775,0.014222547,False,False
10,-0.044835165143013,-0.6397604942321777,-0.5140186548233032,-0.5662155151367188,0.9767383337020874,0.2064899206161499,0.08955538272857666,0.08955538272857666,0.0,1.0,0.98574734,0.014252669,False,False
11,-0.04482047259807587,-0.6397050619125366,-0.5139718055725098,-0.5661651492118835,0.9767303466796875,0.20648187398910522,0.08957967907190323,0.08957967907190323,0.0,1.0,0.9857172,0.014282823,False,False
12,-0.044805798679590225,-0.6396496295928955,-0.5139249563217163,-0.5661147236824036,0.9767223000526428,0.20647388696670532,0.08960402011871338,0.08960402011871338,0.0,0.9999998807907104,0.985687,0.014312989,False,False
