iteration,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,0.6322146058082581,0.43752679228782654,0.28754234313964844,0.5153911113739014,0.7330136299133301,0.3884930908679962,0.418613463640213,0.69550621509552,0.4652136266231537,0.40451666712760925,0.44964611530303955,0.5091547966003418,0.296332448720932,0.42855316400527954,0.7424129247665405,0.44640716910362244,0.7277060747146606,0.40240058302879333,0.3994412124156952,0.42548295855522156,0.27646854519844055,0.34941917657852173,0.6510884761810303,0.3124506175518036,0.5854003429412842,0.7352191209793091,0.46823063492774963,0.6093664169311523,0.6167763471603394,0.3215446472167969,0.6322146058082581,2.996063232421875,0.7003883123397827,0.09958833456039429,4.267459644324845e-06,1.0000001192092896,6.3117209989213725,0.5000030161970273,False,False
1,0.6323204040527344,0.437398225069046,0.2874137759208679,0.5152625441551208,0.7328850626945496,0.3883645236492157,0.4184848964214325,0.6953776478767395,0.46508505940437317,0.40438809990882874,0.44951754808425903,0.5090262293815613,0.2962038815021515,0.428424596786499,0.74228435754776,0.4462786018848419,0.7275775074958801,0.4022720158100128,0.3993126451969147,0.42535439133644104,0.27633997797966003,0.3492906093597412,0.6509599089622498,0.31232205033302307,0.5852717757225037,0.7350905537605286,0.4681020677089691,0.6092378497123718,0.6166477799415588,0.32141607999801636,0.6323204040527344,2.9937491416931152,0.7001705765724182,0.0999622493982315,4.546838681562804e-06,1.0,6.286587883216355,0.5000032379916105,False,False
2,0.6324249505996704,0.4372696578502655,0.2872852087020874,0.5151339769363403,0.732756495475769,0.3882359564304352,0.418356329202652,0.695249080657959,0.46495649218559265,0.4042595326900482,0.4493889808654785,0.5088976621627808,0.29607531428337097,0.4282960295677185,0.7421557903289795,0.4461500346660614,0.7274489402770996,0.4021434485912323,0.39918407797813416,0.4252258241176605,0.2762114107608795,0.3491620421409607,0.6508313417434692,0.31219348311424255,0.5851432085037231,0.734961986541748,0.4679735004901886,0.6091092824935913,0.6165192127227783,0.32128751277923584,0.6324249505996704,2.9914567470550537,0.6999582648277283,0.10033541917800903,4.891667686024448e-06,0.9999998211860657,6.261680424895684,0.5000034628809704,False,False
3,0.6325282454490662,0.437141090631485,0.2871566414833069,0.5150054097175598,0.7326279282569885,0.38810738921165466,0.41822776198387146,0.6951205134391785,0.46482792496681213,0.4041309654712677,0.449260413646698,0.5087690949440002,0.29594674706459045,0.428167462348938,0.742027223110199,0.4460214674472809,0.7273203730583191,0.4020148813724518,0.39905551075935364,0.42509725689888,0.276082843542099,0.3490334749221802,0.6507027745246887,0.31206491589546204,0.5850146412849426,0.7348334193229675,0.4678449332714081,0.6089807152748108,0.6163906455039978,0.3211589455604553,0.6325282454490662,2.9891865253448486,0.6997515559196472,0.10070781409740448,5.166815299162408e-06,1.0,6.236999438301971,0.5000036870157687,False,False
4,0.6326302886009216,0.43701255321502686,0.28702810406684875,0.5148768424987793,0.732499361038208,0.38797885179519653,0.41809922456741333,0.694991946220398,0.464699387550354,0.40400242805480957,0.44913187623023987,0.5086405277252197,0.2958182096481323,0.42803892493247986,0.7418986558914185,0.44589293003082275,0.7271918058395386,0.40188634395599365,0.3989269733428955,0.4249687194824219,0.27595430612564087,0.34890493750572205,0.6505742073059082,0.3119363784790039,0.5848860740661621,0.734704852104187,0.46771639585494995,0.6088521480560303,0.6162620782852173,0.3210304081439972,0.6326302886009216,2.9869368076324463,0.6995499134063721,0.10107952356338501,5.447836883831769e-06,1.0000001192092896,6.2125362103930035,0.5000039116899788,False,False
5,0.6327311396598816,0.4368840157985687,0.2868995666503906,0.5147482752799988,0.7323707938194275,0.3878503143787384,0.4179706871509552,0.6948633790016174,0.4645708501338959,0.40387389063835144,0.44900333881378174,0.5085119605064392,0.2956896722316742,0.42791038751602173,0.7417700886726379,0.4457643926143646,0.7270632386207581,0.4017578065395355,0.3987984359264374,0.42484018206596375,0.27582576870918274,0.3487764000892639,0.6504456400871277,0.3118078410625458,0.5847575068473816,0.7345762848854065,0.4675878584384918,0.6087235808372498,0.6161335110664368,0.32090187072753906,0.6327311396598816,2.9847071170806885,0.6993533968925476,0.10145050287246704,5.773027169198031e-06,1.0,6.188290687866729,0.5000041382696221,False,False
6,0.632830798625946,0.4367554783821106,0.2867710292339325,0.5146197080612183,0.732242226600647,0.3877217769622803,0.41784214973449707,0.6947348117828369,0.46444231271743774,0.4037453532218933,0.4488748013973236,0.5083833932876587,0.29556113481521606,0.4277818500995636,0.7416415214538574,0.4456358551979065,0.7269346714019775,0.4016292691230774,0.39866989850997925,0.4247116446495056,0.2756972312927246,0.3486478626728058,0.6503170728683472,0.31167930364608765,0.5846289396286011,0.734447717666626,0.4674593210220337,0.6085950136184692,0.6160049438476562,0.32077333331108093,0.632830798625946,2.982497453689575,0.6991618871688843,0.10182086378335953,6.05319655733183e-06,1.0,6.164251920716941,0.5000043626672498,False,False
7,0.6329293251037598,0.43662694096565247,0.28664249181747437,0.5144912004470825,0.7321137189865112,0.38759323954582214,0.41771361231803894,0.6946063041687012,0.4643137753009796,0.4036168158054352,0.4487462639808655,0.508254885673523,0.29543259739875793,0.42765331268310547,0.7415130138397217,0.44550731778144836,0.7268061637878418,0.40150073170661926,0.3985413610935211,0.4245831072330475,0.2755686938762665,0.34851932525634766,0.6501885652542114,0.3115507662296295,0.5845004320144653,0.7343192100524902,0.46733078360557556,0.6084665060043335,0.6158764362335205,0.3206447958946228,0.6329293251037598,2.980308771133423,0.6989755630493164,0.1021902784705162,6.837554792582523e-06,0.9999999403953552,6.140442055943832,0.5000048445732436,False,False
8,0.633026659488678,0.43649840354919434,0.28651395440101624,0.5143626928329468,0.7319852113723755,0.387464702129364,0.4175850749015808,0.6944777965545654,0.4641852378845215,0.40348827838897705,0.44861772656440735,0.5081263780593872,0.2953040599822998,0.42752477526664734,0.7413845062255859,0.44537878036499023,0.726677656173706,0.40137219429016113,0.398412823677063,0.42445456981658936,0.27544015645980835,0.3483907878398895,0.6500600576400757,0.3114222288131714,0.5843719244003296,0.7341907024383545,0.46720224618911743,0.6083379983901978,0.6157479286193848,0.3205162584781647,0.633026659488678,2.9781382083892822,0.6987939476966858,0.1025591716170311,7.679072950850241e-06,0.9999999403953552,6.116830897139351,0.5000055293096904,False,False
9,0.6331228613853455,0.4363698661327362,0.2863854169845581,0.514234185218811,0.7318567037582397,0.3873361647129059,0.4174565374851227,0.6943492889404297,0.46405670046806335,0.4033597409725189,0.4484891891479492,0.5079978704452515,0.2951755225658417,0.4273962378501892,0.7412559986114502,0.4452502429485321,0.7265491485595703,0.401243656873703,0.39828428626060486,0.4243260324001312,0.2753116190433502,0.3482622504234314,0.6499315500259399,0.31129369139671326,0.5842434167861938,0.7340621948242188,0.4670737087726593,0.608209490776062,0.615619421005249,0.32038772106170654,0.6331228613853455,2.975986957550049,0.6986170411109924,0.10292693972587585,8.769634405325633e-06,1.0,6.093450811382522,0.5000062555720894,False,False
